target,target_end_date,quantile,value,location,type,forecast_date
1 wk ahead inc flu hosp,2022-12-10,0.010,1768.241,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.025,1819.649,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.050,1873.449,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.100,1923.954,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.150,1967.088,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.200,1999.200,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.250,2028.892,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.300,2053.624,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.350,2088.038,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.400,2115.853,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.450,2141.282,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.500,2165.123,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.550,2190.958,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.600,2217.286,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.650,2243.095,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.700,2276.491,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.750,2307.684,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.800,2343.648,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.850,2395.440,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.900,2444.988,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.950,2548.912,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.975,2622.363,48,quantile,2022-12-05
1 wk ahead inc flu hosp,2022-12-10,0.990,2719.446,48,quantile,2022-12-05
2 wk ahead inc flu hosp,2022-12-17,0.010,1381.920,48,quantile,2022-12-05
2 wk ahead inc flu hosp,2022-12-17,0.025,1490.235,48,quantile,2022-12-05
