,forecast_date,target_end_date,location,target,quantile,value,type
0,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.01,0.0,quantile
1,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.025,0.0,quantile
2,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.05,6.0755996792251805,quantile
3,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.1,13.212869897494205,quantile
4,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.15,17.512924097008387,quantile
5,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.2,21.00594227595588,quantile
6,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.25,23.71635710851484,quantile
7,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.3,26.133584780096765,quantile
8,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.35,28.53749044064238,quantile
9,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.4,30.624678028801352,quantile
10,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.45,32.95070299391153,quantile
11,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.5,35.10427359304143,quantile
12,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.55,37.807165030246544,quantile
13,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.6,40.47529690082233,quantile
14,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.65,43.49446742031451,quantile
15,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.7,47.0408768131984,quantile
16,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.75,50.8712643055914,quantile
17,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.8,55.47484255523134,quantile
18,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.85,61.946243358911886,quantile
19,2022-01-10,2022-01-15,01,1 wk ahead inc flu hosp,0.9,70.44665981324479,quantile
