forecast_date,location,target,target_end_date,type,quantile,value
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.01,99.99000000000001
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.025,107.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.05,114.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.1,122.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.15,129.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.2,134.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.25,139.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.3,144.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.35,148.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.4,152.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.45,156.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.5,160.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.55,164.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.6,168.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.65,173.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.7,178.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.75,183.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.8,190.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.85,197.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.9,206.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.95,217.0
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.975,228.02499999999964
2023-01-02,01,1 wk ahead inc flu hosp,2023-01-07,quantile,0.99,246.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.01,56.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.025,65.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.05,74.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.1,85.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.15,95.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.2,102.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.25,110.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.3,116.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.35,123.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.4,131.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.45,138.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.5,146.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.55,154.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.6,163.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.65,172.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.7,181.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.75,192.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.8,203.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.85,218.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.9,236.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.95,264.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.975,290.0
2023-01-02,01,2 wk ahead inc flu hosp,2023-01-14,quantile,0.99,311.0100000000002
2023-01-02,01,3 wk ahead inc flu hosp,2023-01-21,quantile,0.01,23.0
