forecast_date,location,target,target_end_date,type,quantile,value
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.01,0.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.025,1.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.05,2.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.1,3.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.15,4.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.2,4.800000000000011
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.25,5.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.3,6.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.35,6.649999999999977
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.4,7.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.45,8.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.5,9.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.55,9.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.6,10.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.65,11.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.7,12.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.75,13.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.8,14.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.85,15.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.9,17.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.95,21.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.975,22.0
2023-05-22,01,1 wk ahead inc flu hosp,2023-05-27,quantile,0.99,25.00999999999999
2023-05-22,01,2 wk ahead inc flu hosp,2023-06-03,quantile,0.01,0.0
2023-05-22,01,2 wk ahead inc flu hosp,2023-06-03,quantile,0.025,0.0
2023-05-22,01,2 wk ahead inc flu hosp,2023-06-03,quantile,0.05,0.0
2023-05-22,01,2 wk ahead inc flu hosp,2023-06-03,quantile,0.1,0.0
2023-05-22,01,2 wk ahead inc flu hosp,2023-06-03,quantile,0.15,0.0
2023-05-22,01,2 wk ahead inc flu hosp,2023-06-03,quantile,0.2,1.0
2023-05-22,01,2 wk ahead inc flu hosp,2023-06-03,quantile,0.25,2.0
2023-05-22,01,2 wk ahead inc flu hosp,2023-06-03,quantile,0.3,3.0
2023-05-22,01,2 wk ahead inc flu hosp,2023-06-03,quantile,0.35,4.0
2023-05-22,01,2 wk ahead inc flu hosp,2023-06-03,quantile,0.4,5.0
2023-05-22,01,2 wk ahead inc flu hosp,2023-06-03,quantile,0.45,6.0
2023-05-22,01,2 wk ahead inc flu hosp,2023-06-03,quantile,0.5,7.0
