forecast_date,location,target,target_end_date,type,quantile,value
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.01,0.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.025,0.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.05,1.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.1,2.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.15,3.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.2,3.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.25,4.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.3,5.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.35,6.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.4,6.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.45,7.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.5,7.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.55,8.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.6,9.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.65,10.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.7,11.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.75,12.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.8,13.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.85,14.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.9,16.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.95,19.0
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.975,21.524999999999977
2023-05-01,01,1 wk ahead inc flu hosp,2023-05-06,quantile,0.99,24.00999999999999
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.01,0.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.025,0.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.05,0.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.1,0.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.15,0.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.2,0.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.25,1.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.3,2.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.35,3.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.4,4.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.45,5.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.5,6.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.55,7.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.6,8.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.65,9.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.7,11.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.75,12.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.8,14.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.85,17.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.9,19.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.95,24.0
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.975,29.524999999999977
2023-05-01,01,2 wk ahead inc flu hosp,2023-05-13,quantile,0.99,36.02999999999997
2023-05-01,01,3 wk ahead inc flu hosp,2023-05-20,quantile,0.01,0.0
2023-05-01,01,3 wk ahead inc flu hosp,2023-05-20,quantile,0.025,0.0
2023-05-01,01,3 wk ahead inc flu hosp,2023-05-20,quantile,0.05,0.0
2023-05-01,01,3 wk ahead inc flu hosp,2023-05-20,quantile,0.1,0.0
2023-05-01,01,3 wk ahead inc flu hosp,2023-05-20,quantile,0.15,0.0
2023-05-01,01,3 wk ahead inc flu hosp,2023-05-20,quantile,0.2,0.0
