"forecast_date","target","location","type","type_id","value"
"2022-12-05","2 wk flu hosp rate change","US","category","stable",0.215499212956485
"2022-12-05","2 wk flu hosp rate change","US","category","increase",0.532879135442574
"2022-12-05","2 wk flu hosp rate change","US","category","decrease",0
"2022-12-05","2 wk flu hosp rate change","US","category","large_increase",0.25162165160094
"2022-12-05","2 wk flu hosp rate change","US","category","large_decrease",0
"2022-12-05","2 wk flu hosp rate change","02","category","stable",0.694435806576888
"2022-12-05","2 wk flu hosp rate change","02","category","increase",0.0923752162262422
"2022-12-05","2 wk flu hosp rate change","02","category","decrease",0.181498956170899
"2022-12-05","2 wk flu hosp rate change","02","category","large_increase",0
"2022-12-05","2 wk flu hosp rate change","02","category","large_decrease",0.0316900210259709
"2022-12-05","2 wk flu hosp rate change","01","category","stable",0.649271409237534
"2022-12-05","2 wk flu hosp rate change","01","category","increase",0.148978131409
"2022-12-05","2 wk flu hosp rate change","01","category","decrease",0.136149269657398
"2022-12-05","2 wk flu hosp rate change","01","category","large_increase",0.0420338584568127
"2022-12-05","2 wk flu hosp rate change","01","category","large_decrease",0.0235673312392562
"2022-12-05","2 wk flu hosp rate change","05","category","stable",0.206557127214351
"2022-12-05","2 wk flu hosp rate change","05","category","increase",0.0550152637297865
"2022-12-05","2 wk flu hosp rate change","05","category","decrease",0.186678273632882
"2022-12-05","2 wk flu hosp rate change","05","category","large_increase",0.096438765784724
"2022-12-05","2 wk flu hosp rate change","05","category","large_decrease",0.455310569638257
"2022-12-05","2 wk flu hosp rate change","04","category","stable",0.125495352145795
"2022-12-05","2 wk flu hosp rate change","04","category","increase",0.138295157650605
"2022-12-05","2 wk flu hosp rate change","04","category","decrease",0.0218902385396805
"2022-12-05","2 wk flu hosp rate change","04","category","large_increase",0.698317745207667
"2022-12-05","2 wk flu hosp rate change","04","category","large_decrease",0.0160015064562525
"2022-12-05","2 wk flu hosp rate change","06","category","stable",0.723155682195436
"2022-12-05","2 wk flu hosp rate change","06","category","increase",0.0845377332766922
"2022-12-05","2 wk flu hosp rate change","06","category","decrease",0.123402289443167
"2022-12-05","2 wk flu hosp rate change","06","category","large_increase",0.0205573645294423
"2022-12-05","2 wk flu hosp rate change","06","category","large_decrease",0.0483469305552629
"2022-12-05","2 wk flu hosp rate change","08","category","stable",0.909825580703377
"2022-12-05","2 wk flu hosp rate change","08","category","increase",0.0414664308441979
"2022-12-05","2 wk flu hosp rate change","08","category","decrease",0.0487079884524253
"2022-12-05","2 wk flu hosp rate change","08","category","large_increase",0
"2022-12-05","2 wk flu hosp rate change","08","category","large_decrease",0
"2022-12-05","2 wk flu hosp rate change","09","category","stable",0.0393380732172282
"2022-12-05","2 wk flu hosp rate change","09","category","increase",0.0847697759956102
"2022-12-05","2 wk flu hosp rate change","09","category","decrease",0
"2022-12-05","2 wk flu hosp rate change","09","category","large_increase",0.875892150787162
"2022-12-05","2 wk flu hosp rate change","09","category","large_decrease",0
"2022-12-05","2 wk flu hosp rate change","11","category","stable",0.575
"2022-12-05","2 wk flu hosp rate change","11","category","increase",0
"2022-12-05","2 wk flu hosp rate change","11","category","decrease",0.425
"2022-12-05","2 wk flu hosp rate change","11","category","large_increase",0
