,forecast_date,target_end_date,location,target,quantile,value,type
0,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.01,3.647965484424844,quantile
1,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.025,6.568034427267315,quantile
2,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.05,9.636582610291866,quantile
3,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.1,12.678270816948894,quantile
4,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.15,15.079875507239368,quantile
5,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.2,16.908542253885603,quantile
6,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.25,18.548616799985325,quantile
7,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.3,20.042110106457976,quantile
8,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.35,21.30522523873305,quantile
9,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.4,22.692994613309512,quantile
10,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.45,23.99809697629604,quantile
11,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.5,25.279231795746348,quantile
12,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.55,26.6157986901165,quantile
13,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.6,27.74347002993556,quantile
14,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.65,29.20833593792912,quantile
15,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.7,30.477905265561105,quantile
16,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.75,31.907190931536988,quantile
17,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.8,33.47867819374759,quantile
18,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.85,35.20198453752893,quantile
19,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.9,37.52570456387037,quantile
20,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.95,40.58580217934062,quantile
21,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.975,43.32829608069047,quantile
22,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.99,46.37447416210114,quantile
23,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.01,0.0,quantile
24,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.025,0.0,quantile
25,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.05,3.305998116816601,quantile
26,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.1,7.756151710997156,quantile
27,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.15,11.680463194442098,quantile
28,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.2,14.381648140603804,quantile
29,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.25,16.950781841173807,quantile
30,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.3,19.31728068746198,quantile
31,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.35,21.67371552465314,quantile
32,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.4,23.958458279657933,quantile
33,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.45,26.1643982825154,quantile
34,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.5,27.97056634712097,quantile
35,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.55,30.13550538568384,quantile
36,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.6,32.1986033792681,quantile
37,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.65,34.05169132837176,quantile
38,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.7,36.226374719734814,quantile
39,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.75,38.62758993956965,quantile
40,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.8,40.78057684066635,quantile
41,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.85,43.32313578657383,quantile
42,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.9,46.31053654238418,quantile
43,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.95,50.857674899777656,quantile
