,forecast_date,target_end_date,location,target,quantile,value,type
0,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.01,12.525091962455017,quantile
1,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.025,15.711921650973029,quantile
2,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.05,18.078643300027405,quantile
3,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.1,21.081143526701727,quantile
4,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.15,23.13887058960831,quantile
5,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.2,25.265745088842323,quantile
6,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.25,26.786627479869612,quantile
7,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.3,28.10182790064882,quantile
8,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.35,29.25445213020584,quantile
9,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.4,30.455785800902383,quantile
10,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.45,31.755321455241337,quantile
11,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.5,32.99867526454248,quantile
12,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.55,34.19949629702515,quantile
13,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.6,35.373863795834126,quantile
14,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.65,36.76817704202693,quantile
15,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.7,38.13105825095761,quantile
16,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.75,39.41140634144409,quantile
17,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.8,40.77010875544793,quantile
18,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.85,42.555174035102446,quantile
19,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.9,44.50071666014072,quantile
20,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.95,47.37028072081162,quantile
21,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.975,50.31910543708185,quantile
22,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.99,53.05576140807457,quantile
23,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.01,0.0,quantile
24,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.025,0.0,quantile
25,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.05,0.0,quantile
