,forecast_date,target_end_date,location,target,quantile,value,type
0,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.01,27.64551805595632,quantile
1,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.025,29.30066093405367,quantile
2,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.05,30.5847623280184,quantile
3,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.1,32.15569038391544,quantile
4,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.15,33.15068714367078,quantile
5,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.2,33.94230853788549,quantile
6,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.25,34.68588674956378,quantile
7,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.3,35.27312094238706,quantile
8,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.35,35.79040475743726,quantile
9,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.4,36.34809696228529,quantile
10,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.45,36.82300500892404,quantile
11,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.5,37.320446020070605,quantile
12,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.55,37.81952666876321,quantile
13,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.6,38.31642914147738,quantile
14,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.65,38.88556684618028,quantile
15,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.7,39.544867607394096,quantile
16,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.75,40.0633986313705,quantile
17,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.8,40.70526652441834,quantile
18,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.85,41.55072517876147,quantile
19,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.9,42.55202007525277,quantile
20,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.95,43.91938276608175,quantile
21,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.975,45.41905666195157,quantile
22,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.99,47.19109643760029,quantile
23,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.01,29.447032371860097,quantile
24,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.025,31.50701835383844,quantile
25,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.05,33.399125643320005,quantile
26,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.1,35.4594712390209,quantile
27,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.15,36.81481293629098,quantile
28,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.2,37.82862159609008,quantile
29,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.25,38.68299990531742,quantile
30,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.3,39.47831831777768,quantile
31,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.35,40.153474000212285,quantile
32,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.4,40.85689876299555,quantile
33,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.45,41.65216742430646,quantile
34,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.5,42.3004484812784,quantile
35,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.55,42.94656714601759,quantile
36,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.6,43.655807931771164,quantile
37,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.65,44.33975938061906,quantile
38,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.7,45.04745528939089,quantile
39,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.75,45.88691925130699,quantile
40,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.8,46.75981523268268,quantile
41,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.85,47.86855155208652,quantile
42,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.9,49.19061989018884,quantile
43,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.95,51.34485577522969,quantile
44,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.975,53.28831263334085,quantile
45,2022-01-10,2022-01-22,09,2 wk ahead inc flu hosp,0.99,55.38371063576455,quantile
46,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.01,31.36224230208755,quantile
47,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.025,34.49356378593898,quantile
48,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.05,37.301998942380685,quantile
49,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.1,40.26906683545034,quantile
50,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.15,42.272686726679794,quantile
51,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.2,43.92510994903483,quantile
52,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.25,45.34943966530472,quantile
53,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.3,46.72165557749986,quantile
54,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.35,48.01907944735184,quantile
55,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.4,49.19211256185349,quantile
56,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.45,50.36847821193376,quantile
57,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.5,51.38318432554108,quantile
58,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.55,52.571501573939926,quantile
59,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.6,53.73074512495021,quantile
60,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.65,54.92029891802261,quantile
61,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.7,56.14658095742297,quantile
62,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.75,57.35846672537426,quantile
63,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.8,58.9136701593993,quantile
64,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.85,60.76826686347724,quantile
65,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.9,63.08329925209128,quantile
66,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.95,66.573313313508,quantile
67,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.975,69.97121279551475,quantile
68,2022-01-10,2022-01-29,09,3 wk ahead inc flu hosp,0.99,74.52101504724182,quantile
69,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.01,33.04490531256192,quantile
70,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.025,36.71457044750996,quantile
71,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.05,40.311767702129714,quantile
72,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.1,44.39264705309872,quantile
73,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.15,47.5164811950967,quantile
74,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.2,49.64784682040286,quantile
75,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.25,51.67089858670855,quantile
76,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.3,53.96650704072955,quantile
77,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.35,55.79259195777705,quantile
78,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.4,57.508103751743775,quantile
79,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.45,59.04780271353617,quantile
80,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.5,60.67947516977398,quantile
81,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.55,62.470423303909065,quantile
82,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.6,64.16312463835871,quantile
83,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.65,66.06839818700317,quantile
84,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.7,68.06764003608978,quantile
85,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.75,69.91398482406419,quantile
86,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.8,72.22480743026271,quantile
87,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.85,74.98755145932118,quantile
88,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.9,78.49493043054136,quantile
89,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.95,84.1742759700262,quantile
90,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.975,88.95067947603313,quantile
91,2022-01-10,2022-02-05,09,4 wk ahead inc flu hosp,0.99,97.12913202380506,quantile
92,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.01,0.0,quantile
93,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.025,0.0,quantile
94,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.05,0.0,quantile
95,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.1,0.0,quantile
96,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.15,0.0,quantile
97,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.2,0.0,quantile
98,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.25,0.100061484647316,quantile
99,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.3,0.2860204320249209,quantile
100,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.35,0.4654293897998004,quantile
101,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.4,0.6259297615668499,quantile
102,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.45,0.7757400580990951,quantile
103,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.5,0.9279609227756076,quantile
104,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.55,1.071508445131159,quantile
105,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.6,1.23511650797114,quantile
106,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.65,1.3979621730001226,quantile
