location,location_name,yr,week,ew,mw,value,date
01,Alabama,2020,29,202029,18,823,2020-07-18
01,Alabama,2020,30,202030,19,1003,2020-07-25
01,Alabama,2020,31,202031,20,871,2020-08-01
01,Alabama,2020,32,202032,21,696,2020-08-08
01,Alabama,2020,33,202033,22,726,2020-08-15
01,Alabama,2020,34,202034,23,776,2020-08-22
01,Alabama,2020,35,202035,24,879,2020-08-29
01,Alabama,2020,36,202036,25,851,2020-09-05
01,Alabama,2020,37,202037,26,766,2020-09-12
01,Alabama,2020,38,202038,27,750,2020-09-19
01,Alabama,2020,39,202039,28,800,2020-09-26
01,Alabama,2020,40,202040,29,748,2020-10-03
01,Alabama,2020,41,202041,30,793,2020-10-10
01,Alabama,2020,42,202042,31,873,2020-10-17
01,Alabama,2020,43,202043,32,1045,2020-10-24
01,Alabama,2020,44,202044,33,1103,2020-10-31
01,Alabama,2020,45,202045,34,1131,2020-11-07
01,Alabama,2020,46,202046,35,1314,2020-11-14
01,Alabama,2020,47,202047,36,1387,2020-11-21
01,Alabama,2020,48,202048,37,1537,2020-11-28
01,Alabama,2020,49,202049,38,1976,2020-12-05
01,Alabama,2020,50,202050,39,2281,2020-12-12
01,Alabama,2020,51,202051,40,2667,2020-12-19
01,Alabama,2020,52,202052,41,2834,2020-12-26
01,Alabama,2020,53,202053,42,2936,2021-01-02
01,Alabama,2021,1,202101,43,3098,2021-01-09
01,Alabama,2021,2,202102,44,2715,2021-01-16
01,Alabama,2021,3,202103,45,2206,2021-01-23
01,Alabama,2021,4,202104,46,1829,2021-01-30
01,Alabama,2021,5,202105,47,1556,2021-02-06
01,Alabama,2021,6,202106,48,1192,2021-02-13
01,Alabama,2021,7,202107,49,955,2021-02-20
01,Alabama,2021,8,202108,50,717,2021-02-27
01,Alabama,2021,9,202109,51,558,2021-03-06
01,Alabama,2021,10,202110,52,457,2021-03-13
01,Alabama,2021,11,202111,53,552,2021-03-20
01,Alabama,2021,12,202112,54,452,2021-03-27
01,Alabama,2021,13,202113,55,390,2021-04-03
01,Alabama,2021,14,202114,56,379,2021-04-10
01,Alabama,2021,15,202115,57,388,2021-04-17
01,Alabama,2021,16,202116,58,453,2021-04-24
01,Alabama,2021,17,202117,59,411,2021-05-01
01,Alabama,2021,18,202118,60,462,2021-05-08
01,Alabama,2021,19,202119,61,501,2021-05-15
01,Alabama,2021,20,202120,62,345,2021-05-22
01,Alabama,2021,21,202121,63,329,2021-05-29
01,Alabama,2021,22,202122,64,263,2021-06-05
01,Alabama,2021,23,202123,65,216,2021-06-12
01,Alabama,2021,24,202124,66,181,2021-06-19
01,Alabama,2021,25,202125,67,208,2021-06-26
01,Alabama,2021,26,202126,68,499,2021-07-03
01,Alabama,2021,27,202127,69,318,2021-07-10
01,Alabama,2021,28,202128,70,556,2021-07-17
01,Alabama,2021,29,202129,71,1188,2021-07-24
01,Alabama,2021,30,202130,72,1872,2021-07-31
01,Alabama,2021,31,202131,73,2118,2021-08-07
01,Alabama,2021,32,202132,74,2603,2021-08-14
01,Alabama,2021,33,202133,75,2582,2021-08-21
01,Alabama,2021,34,202134,76,2536,2021-08-28
01,Alabama,2021,35,202135,77,2673,2021-09-04
01,Alabama,2021,36,202136,78,2352,2021-09-11
01,Alabama,2021,37,202137,79,1709,2021-09-18
01,Alabama,2021,38,202138,80,1156,2021-09-25
01,Alabama,2021,39,202139,81,837,2021-10-02
01,Alabama,2021,40,202140,82,741,2021-10-09
01,Alabama,2021,41,202141,83,554,2021-10-16
01,Alabama,2021,42,202142,84,427,2021-10-23
01,Alabama,2021,43,202143,85,388,2021-10-30
01,Alabama,2021,44,202144,86,284,2021-11-06
01,Alabama,2021,45,202145,87,293,2021-11-13
01,Alabama,2021,46,202146,88,266,2021-11-20
01,Alabama,2021,47,202147,89,267,2021-11-27
01,Alabama,2021,48,202148,90,342,2021-12-04
01,Alabama,2021,49,202149,91,341,2021-12-11
01,Alabama,2021,50,202150,92,363,2021-12-18
01,Alabama,2021,51,202151,93,499,2021-12-25
01,Alabama,2021,52,202152,94,1184,2022-01-01
02,Alaska,2020,29,202029,18,8,2020-07-18
02,Alaska,2020,30,202030,19,34,2020-07-25
02,Alaska,2020,31,202031,20,19,2020-08-01
02,Alaska,2020,32,202032,21,29,2020-08-08
02,Alaska,2020,33,202033,22,23,2020-08-15
02,Alaska,2020,34,202034,23,37,2020-08-22
02,Alaska,2020,35,202035,24,28,2020-08-29
02,Alaska,2020,36,202036,25,36,2020-09-05
02,Alaska,2020,37,202037,26,32,2020-09-12
02,Alaska,2020,38,202038,27,39,2020-09-19
02,Alaska,2020,39,202039,28,35,2020-09-26
02,Alaska,2020,40,202040,29,31,2020-10-03
02,Alaska,2020,41,202041,30,39,2020-10-10
02,Alaska,2020,42,202042,31,59,2020-10-17
02,Alaska,2020,43,202043,32,55,2020-10-24
02,Alaska,2020,44,202044,33,74,2020-10-31
02,Alaska,2020,45,202045,34,96,2020-11-07
02,Alaska,2020,46,202046,35,123,2020-11-14
02,Alaska,2020,47,202047,36,131,2020-11-21
02,Alaska,2020,48,202048,37,148,2020-11-28
02,Alaska,2020,49,202049,38,133,2020-12-05
02,Alaska,2020,50,202050,39,105,2020-12-12
02,Alaska,2020,51,202051,40,89,2020-12-19
02,Alaska,2020,52,202052,41,65,2020-12-26
02,Alaska,2020,53,202053,42,75,2021-01-02
02,Alaska,2021,1,202101,43,63,2021-01-09
02,Alaska,2021,2,202102,44,52,2021-01-16
02,Alaska,2021,3,202103,45,34,2021-01-23
02,Alaska,2021,4,202104,46,27,2021-01-30
02,Alaska,2021,5,202105,47,27,2021-02-06
02,Alaska,2021,6,202106,48,25,2021-02-13
02,Alaska,2021,7,202107,49,39,2021-02-20
02,Alaska,2021,8,202108,50,31,2021-02-27
02,Alaska,2021,9,202109,51,32,2021-03-06
02,Alaska,2021,10,202110,52,30,2021-03-13
02,Alaska,2021,11,202111,53,47,2021-03-20
02,Alaska,2021,12,202112,54,33,2021-03-27
02,Alaska,2021,13,202113,55,45,2021-04-03
02,Alaska,2021,14,202114,56,43,2021-04-10
02,Alaska,2021,15,202115,57,33,2021-04-17
02,Alaska,2021,16,202116,58,55,2021-04-24
02,Alaska,2021,17,202117,59,46,2021-05-01
02,Alaska,2021,18,202118,60,30,2021-05-08
02,Alaska,2021,19,202119,61,29,2021-05-15
02,Alaska,2021,20,202120,62,14,2021-05-22
02,Alaska,2021,21,202121,63,19,2021-05-29
02,Alaska,2021,22,202122,64,24,2021-06-05
02,Alaska,2021,23,202123,65,16,2021-06-12
02,Alaska,2021,24,202124,66,8,2021-06-19
02,Alaska,2021,25,202125,67,14,2021-06-26
02,Alaska,2021,26,202126,68,28,2021-07-03
02,Alaska,2021,27,202127,69,38,2021-07-10
02,Alaska,2021,28,202128,70,43,2021-07-17
02,Alaska,2021,29,202129,71,82,2021-07-24
02,Alaska,2021,30,202130,72,87,2021-07-31
02,Alaska,2021,31,202131,73,89,2021-08-07
02,Alaska,2021,32,202132,74,126,2021-08-14
02,Alaska,2021,33,202133,75,118,2021-08-21
02,Alaska,2021,34,202134,76,135,2021-08-28
02,Alaska,2021,35,202135,77,163,2021-09-04
