,forecast_date,target_end_date,location,target,quantile,value,type
0,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.01,0.0,quantile
1,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.025,4.461821316377073,quantile
2,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.05,9.066199298441978,quantile
3,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.1,13.996849704195345,quantile
4,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.15,16.844379829200037,quantile
5,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.2,19.06764987674376,quantile
6,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.25,21.04376025697569,quantile
7,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.3,22.49139856240524,quantile
8,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.35,23.99184666817149,quantile
9,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.4,25.532957275649537,quantile
10,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.45,27.080584392474144,quantile
11,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.5,28.54597343318576,quantile
12,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.55,29.956259582779527,quantile
13,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.6,31.339483787953444,quantile
14,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.65,33.17418826670754,quantile
15,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.7,34.70767042704963,quantile
16,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.75,36.58539797875592,quantile
17,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.8,38.701760057295935,quantile
18,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.85,41.79296725626747,quantile
19,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.9,45.32971531026449,quantile
20,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.95,52.01398365001823,quantile
21,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.975,57.32711217860584,quantile
22,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.99,64.63441394382248,quantile
23,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.01,0.0,quantile
24,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.025,0.0,quantile
25,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.05,0.0,quantile
26,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.1,0.0,quantile
27,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.15,0.0,quantile
28,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.2,0.0068537090433765,quantile
29,2022-01-10,2022-01-15,23,1 wk ahead inc flu hosp,0.25,1.0067165690031334,quantile
