,location,target_end_date,forecast_date,target,type,type_id,value
0,01,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
1,02,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
2,04,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
3,05,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
4,06,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
5,08,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
6,09,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
7,10,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
8,11,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
9,12,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
10,13,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
11,15,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
12,16,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
13,17,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
14,18,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
15,19,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
16,20,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
17,21,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
18,22,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
19,23,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
20,24,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
21,25,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
22,26,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
23,27,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
24,28,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
25,29,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
26,30,2023-04-22,2023-04-10,2 wk flu hosp rate change,category,stable,1
