,location,forecast_date,target,type,type_id,value
0,01,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
1,02,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
2,04,2023-01-30,2 wk flu hosp rate change,category,stable,0.9999999920169599
3,05,2023-01-30,2 wk flu hosp rate change,category,stable,0.9999999999531691
4,06,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
5,08,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
6,09,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
7,10,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
8,11,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
9,12,2023-01-30,2 wk flu hosp rate change,category,stable,0.9930049232677309
10,13,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
11,15,2023-01-30,2 wk flu hosp rate change,category,stable,0.999999999999788
12,16,2023-01-30,2 wk flu hosp rate change,category,stable,0.999999980132972
13,17,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
14,18,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
15,19,2023-01-30,2 wk flu hosp rate change,category,stable,0.894308026499896
16,20,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
17,21,2023-01-30,2 wk flu hosp rate change,category,stable,0.9969626645810621
18,22,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
19,23,2023-01-30,2 wk flu hosp rate change,category,stable,0.977701697396058
20,24,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
21,25,2023-01-30,2 wk flu hosp rate change,category,stable,0.999871201721449
22,26,2023-01-30,2 wk flu hosp rate change,category,stable,0.7825720887507119
23,27,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
24,28,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
25,29,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
26,30,2023-01-30,2 wk flu hosp rate change,category,stable,0.9999999997977671
27,31,2023-01-30,2 wk flu hosp rate change,category,stable,0.999999999776794
28,32,2023-01-30,2 wk flu hosp rate change,category,stable,0.9964361500352521
29,33,2023-01-30,2 wk flu hosp rate change,category,stable,0.9999998688228041
30,34,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
31,35,2023-01-30,2 wk flu hosp rate change,category,stable,0.999999915672811
32,36,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
33,37,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
34,38,2023-01-30,2 wk flu hosp rate change,category,stable,0.9766747925163101
35,39,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
36,40,2023-01-30,2 wk flu hosp rate change,category,stable,0.99999882398505
37,41,2023-01-30,2 wk flu hosp rate change,category,stable,0.999999967352283
38,42,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
39,44,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
40,45,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
41,46,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
42,47,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
43,48,2023-01-30,2 wk flu hosp rate change,category,stable,0.999999999999999
44,49,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
45,50,2023-01-30,2 wk flu hosp rate change,category,stable,0.999999992638109
46,51,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
47,53,2023-01-30,2 wk flu hosp rate change,category,stable,0.9999348697959971
48,54,2023-01-30,2 wk flu hosp rate change,category,stable,0.998313775936654
49,55,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
50,56,2023-01-30,2 wk flu hosp rate change,category,stable,1.0
51,US,2023-01-30,2 wk flu hosp rate change,category,stable,0.9999999899266752
52,01,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
53,02,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
54,04,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
55,05,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
56,06,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
57,08,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
58,09,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
59,10,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
60,11,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
61,12,2023-01-30,2 wk flu hosp rate change,category,increase,0.00575299308402299
62,13,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
63,15,2023-01-30,2 wk flu hosp rate change,category,increase,2.09499084746767e-13
64,16,2023-01-30,2 wk flu hosp rate change,category,increase,1.9867028022702e-08
65,17,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
66,18,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
67,19,2023-01-30,2 wk flu hosp rate change,category,increase,0.105684665682201
68,20,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
69,21,2023-01-30,2 wk flu hosp rate change,category,increase,0.000262178853090322
70,22,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
71,23,2023-01-30,2 wk flu hosp rate change,category,increase,0.0208202075542235
72,24,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
73,25,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
74,26,2023-01-30,2 wk flu hosp rate change,category,increase,0.217420802198796
75,27,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
76,28,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
77,29,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
78,30,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
79,31,2023-01-30,2 wk flu hosp rate change,category,increase,2.22831975094095e-10
80,32,2023-01-30,2 wk flu hosp rate change,category,increase,1.9496381344907798e-06
81,33,2023-01-30,2 wk flu hosp rate change,category,increase,1.3025207867833902e-07
82,34,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
83,35,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
84,36,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
85,37,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
86,38,2023-01-30,2 wk flu hosp rate change,category,increase,9.868602760532141e-07
87,39,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
88,40,2023-01-30,2 wk flu hosp rate change,category,increase,9.012143231679199e-08
89,41,2023-01-30,2 wk flu hosp rate change,category,increase,2.48689957516035e-14
90,42,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
91,44,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
92,45,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
93,46,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
94,47,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
95,48,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
96,49,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
97,50,2023-01-30,2 wk flu hosp rate change,category,increase,1.0402789740737699e-11
98,51,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
99,53,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
100,54,2023-01-30,2 wk flu hosp rate change,category,increase,3.00688738108512e-06
101,55,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
102,56,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
103,US,2023-01-30,2 wk flu hosp rate change,category,increase,0.0
104,01,2023-01-30,2 wk flu hosp rate change,category,decrease,5.8218318502093974e-105
105,02,2023-01-30,2 wk flu hosp rate change,category,decrease,9.929527964651089e-52
106,04,2023-01-30,2 wk flu hosp rate change,category,decrease,7.983040155014609e-09
107,05,2023-01-30,2 wk flu hosp rate change,category,decrease,4.68309028321076e-11
108,06,2023-01-30,2 wk flu hosp rate change,category,decrease,6.36528865078121e-37
