,location,target_end_date,forecast_date,target,type,type_id,value
0,01,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
1,02,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
2,04,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.999999968062863
3,05,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.999999999999638
4,06,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
5,08,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
6,09,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
7,10,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
8,11,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
9,12,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.8559016836871421
10,13,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
11,15,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
12,16,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.999999999778465
13,17,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
14,18,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
15,19,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.999999999991256
16,20,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
17,21,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.999999971740402
18,22,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.7791445040493471
19,23,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.9999991310921401
20,24,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.999999446257783
21,25,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.91120831152628
22,26,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.999905759837471
23,27,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
24,28,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
25,29,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
26,30,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
27,31,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
28,32,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.999999999997604
29,33,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
30,34,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
31,35,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.999999999999822
32,36,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
33,37,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
34,38,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.9999999999999979
35,39,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
36,40,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,0.9999926076140491
37,41,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
38,42,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
39,44,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
40,45,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
41,46,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
42,47,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
43,48,2023-02-18,2023-02-06,2 wk flu hosp rate change,category,stable,1.0
