,location,target_end_date,forecast_date,target,type,type_id,value
0,01,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,0.020877729023130998
1,01,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,decrease,0.15102553256561801
2,01,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,stable,0.638076408373773
3,01,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,increase,0.153594072937677
4,01,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_increase,0.0364262570998009
5,02,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,9.11978830771463e-06
6,02,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,decrease,0.0191635464504655
7,02,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,stable,0.9699763210059
8,02,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,increase,0.0108472608430548
9,02,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_increase,3.7519122715052803e-06
10,04,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,0.153456180993306
11,04,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,decrease,0.28871749097785904
12,04,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,stable,0.5038060787858929
13,04,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,increase,0.0475121368438583
14,04,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_increase,0.006508112399083829
15,05,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,0.372382043501248
16,05,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,decrease,0.211115947186753
17,05,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,stable,0.309970223009409
18,05,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,increase,0.0688968310767122
19,05,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_increase,0.0376349552258776
20,06,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,0.0519639424429538
21,06,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,decrease,0.197891151655748
22,06,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,stable,0.638932599880393
23,06,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,increase,0.0962050714470575
24,06,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_increase,0.0150072345738469
25,08,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,4.939807185919419e-68
26,08,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,decrease,2.33987491208762e-37
27,08,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,stable,0.000368366630271379
28,08,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,increase,0.902117940516238
29,08,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_increase,0.0975136928534905
30,09,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,0.0003298012649506
31,09,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,decrease,0.0128459074158626
32,09,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,stable,0.545931052467805
33,09,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,increase,0.349718207996886
34,09,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_increase,0.0911750308544954
35,10,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,0.0
36,10,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,decrease,0.0568978530240945
37,10,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,stable,0.7129293020691221
38,10,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,increase,0.194506274841064
39,10,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_increase,0.0356665700657202
40,11,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,0.0
41,11,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,decrease,0.0309379416425909
42,11,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,stable,0.9678014012104871
43,11,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,increase,0.00126062858515994
44,11,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_increase,2.85617618734465e-08
45,12,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,1.05324512057685e-16
46,12,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,decrease,0.000388807484316045
47,12,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,stable,0.9996111924078821
48,12,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,increase,1.07801989557288e-10
49,12,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_increase,0.0
50,13,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,0.0
51,13,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,decrease,0.00231673814127415
52,13,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,stable,0.9976386408760128
53,13,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,increase,4.46209825541348e-05
54,13,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_increase,1.5833149454975e-13
55,15,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,0.0
56,15,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,decrease,0.0100634663258068
57,15,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,stable,0.989936533674192
58,15,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,increase,1.6653347785827003e-15
59,15,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_increase,0.0
60,16,2023-01-07,2022-12-26,2 wk flu hosp rate change,category,large_decrease,0.0225462482770787
