,location,target_end_date,forecast_date,target,type,type_id,value
0,01,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_decrease,0.00131368560323548
1,01,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,decrease,0.0089241288846435
2,01,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,stable,0.157399560466501
3,01,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,increase,0.224774880216197
4,01,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_increase,0.607587744829423
5,02,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_decrease,0.0
6,02,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,decrease,3.9846972887702004e-05
7,02,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,stable,0.999960153027112
8,02,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,increase,0.0
9,02,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_increase,0.0
10,04,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_decrease,4.06444164404137e-18
11,04,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,decrease,6.633821340633999e-14
12,04,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,stable,2.65367675581064e-07
13,04,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,increase,6.63108067962362e-05
14,04,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_increase,0.999933423825462
15,05,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_decrease,4.7980893185185e-05
16,05,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,decrease,0.0029626686924234397
17,05,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,stable,0.30091488976555897
18,05,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,increase,0.43525440214490896
19,05,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_increase,0.260820058503923
20,06,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_decrease,0.0723072108408765
21,06,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,decrease,0.0868075531099002
22,06,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,stable,0.292244831647079
23,06,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,increase,0.17036563899752
24,06,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_increase,0.37827476540462396
25,08,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_decrease,0.0
26,08,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,decrease,1.89934827243065e-10
27,08,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,stable,0.63969871546803
28,08,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,increase,0.3601788279453921
29,08,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_increase,0.00012245639664321101
30,09,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_decrease,3.10564639950881e-08
31,09,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,decrease,0.000835211349916996
32,09,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,stable,0.9176999679969008
33,09,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,increase,0.0813409193595575
34,09,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_increase,0.00012387023716065702
35,10,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_decrease,6.616416486801811e-05
36,10,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,decrease,0.00529794683970831
37,10,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,stable,0.485555681602305
38,10,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,increase,0.40187257306082597
39,10,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_increase,0.10720763433229301
40,11,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_decrease,0.0
41,11,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,decrease,0.0481387626343716
42,11,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,stable,0.769775678602161
43,11,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,increase,0.167171199719663
44,11,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_increase,0.0149143590438044
45,12,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_decrease,4.002591321358139e-82
46,12,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,decrease,1.6870949525183898e-37
47,12,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,stable,0.535173088825865
48,12,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,increase,0.464826911135116
49,12,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_increase,3.90188992227536e-11
50,13,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_decrease,0.0
51,13,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,decrease,9.50791527940192e-08
52,13,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,stable,0.9551498431632399
53,13,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,increase,0.0448499313944671
54,13,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_increase,1.30363140615764e-07
55,15,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_decrease,0.0
56,15,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,decrease,0.0
57,15,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,stable,0.7132041801104209
58,15,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,increase,0.286747556242902
59,15,2022-12-03,2022-11-21,2 wk flu hosp rate change,category,large_increase,4.8263646677028294e-05
