"","forecast_date","target","target_end_date","location","type","quantile","value"
"1",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","point",NA,289.4122820987
"2",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.45",287.601425689144
"3",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.4",285.761396308934
"4",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.35",283.859579905144
"5",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.3",281.855351878087
"6",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.25",279.692474712493
"7",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.2",277.284008422053
"8",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.15",274.476646810565
"9",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.1",270.944344863234
"10",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.05",265.708941272801
"11",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.025",261.168009434668
"12",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.01",255.888194827667
"13",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.5",289.4122820987
"14",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.55",291.223138508257
"15",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.6",293.063167888466
"16",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.65",294.964984292257
"17",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.7",296.969212319314
"18",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.75",299.132089484908
"19",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.8",301.540555775347
"20",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.85",304.347917386835
"21",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.9",307.880219334166
"22",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.95",313.1156229246
"23",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.975",317.656554762733
"24",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"01","quantile","0.99",322.936369369733
"25",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","point",NA,295.622473915715
"26",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.45",292.756728868758
"27",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.4",289.844816552154
"28",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.35",286.835124060457
"29",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.3",283.663361511424
"30",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.25",280.240531025381
"31",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.2",276.429046963937
"32",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.15",271.986296787457
"33",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.1",266.396302596589
"34",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.05",258.111089131334
"35",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.025",250.924902057073
"36",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.01",242.569406569408
"37",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.5",295.622473915715
"38",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.55",298.488218962671
"39",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.6",301.400131279275
"40",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.65",304.409823770972
"41",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.7",307.581586320005
"42",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.75",311.004416806048
"43",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.8",314.815900867492
"44",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.85",319.258651043972
"45",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.9",324.84864523484
"46",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.95",333.133858700095
"47",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.975",340.320045774356
"48",2022-11-06,"2 wk ahead inc flu hosp",2022-11-18,"01","quantile","0.99",348.675541262021
"49",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","point",NA,297.02937912212
"50",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.45",293.345999469946
"51",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.4",289.603280421268
"52",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.35",285.734883232554
"53",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.3",281.658175275911
"54",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.25",277.258766410658
"55",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.2",272.359816013302
"56",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.15",266.649491008249
"57",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.1",259.464598241782
"58",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.05",248.815504832634
"59",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.025",239.579004441867
"60",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.01",228.839576628571
"61",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.5",297.02937912212
"62",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.55",300.712758774294
"63",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.6",304.455477822971
"64",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.65",308.323875011686
"65",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.7",312.400582968329
"66",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.75",316.799991833582
"67",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.8",321.698942230937
"68",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.85",327.40926723599
"69",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.9",334.594160002458
"70",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.95",345.243253411606
"71",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.975",354.479753802372
"72",2022-11-06,"3 wk ahead inc flu hosp",2022-11-25,"01","quantile","0.99",365.219181615669
"73",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","point",NA,297.348110381658
"74",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.45",292.986921765951
"75",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.4",288.555474223679
"76",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.35",283.975221473872
"77",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.3",279.148324979621
"78",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.25",273.939344730285
"79",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.2",268.138898205786
"80",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.15",261.377769363332
"81",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.1",252.870725426197
"82",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.05",240.26200481382
"83",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.025",229.325820071254
"84",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.01",216.610141878562
"85",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.5",297.348110381658
"86",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.55",301.709298997365
"87",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.6",306.140746539637
"88",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.65",310.720999289444
"89",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.7",315.547895783695
"90",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.75",320.756876033031
"91",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.8",326.557322557529
"92",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.85",333.318451399984
"93",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.9",341.825495337119
"94",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.95",354.434215949496
"95",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.975",365.370400692062
"96",2022-11-06,"4 wk ahead inc flu hosp",2022-12-02,"01","quantile","0.99",378.086078884754
"97",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","point",NA,5.58182084087151
"98",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.45",5.4607203236654
"99",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.4",5.33766887218539
"100",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.35",5.2104854307404
"101",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.3",5.07645324055974
"102",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.25",4.93181143349846
"103",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.2",4.77074592222631
"104",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.15",4.58300439764068
"105",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.1",4.34678269033552
"106",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.05",3.99666653577004
"107",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.025",3.6929929858996
"108",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.01",3.33990685699074
"109",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.5",5.58182084087151
"110",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.55",5.70292135807762
"111",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.6",5.82597280955763
"112",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.65",5.95315625100262
"113",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.7",6.08718844118328
"114",2022-11-06,"1 wk ahead inc flu hosp",2022-11-11,"15","quantile","0.75",6.23183024824456
