"forecast_date","target","location","type","type_id","value"
"2023-05-01","2 wk flu hosp rate change","01","category","large_decrease",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","01","category","decrease",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","01","category","stable",0.8951186805547988
"2023-05-01","2 wk flu hosp rate change","01","category","increase",0.034036869014166665
"2023-05-01","2 wk flu hosp rate change","01","category","large_increase",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","02","category","large_decrease",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","02","category","decrease",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","02","category","stable",0.9055407327586207
"2023-05-01","2 wk flu hosp rate change","02","category","increase",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","02","category","large_increase",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","04","category","large_decrease",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","04","category","decrease",0.07918524027135461
"2023-05-01","2 wk flu hosp rate change","04","category","stable",0.806030349173788
"2023-05-01","2 wk flu hosp rate change","04","category","increase",0.05247896581545229
"2023-05-01","2 wk flu hosp rate change","04","category","large_increase",0.038690627929060195
"2023-05-01","2 wk flu hosp rate change","05","category","large_decrease",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","05","category","decrease",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","05","category","stable",0.891011228708589
"2023-05-01","2 wk flu hosp rate change","05","category","increase",0.03814432086037655
"2023-05-01","2 wk flu hosp rate change","05","category","large_increase",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","06","category","large_decrease",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","06","category","decrease",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","06","category","stable",0.8913318061348225
"2023-05-01","2 wk flu hosp rate change","06","category","increase",0.037823743434142985
"2023-05-01","2 wk flu hosp rate change","06","category","large_increase",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","08","category","large_decrease",0.023614816810344826
"2023-05-01","2 wk flu hosp rate change","08","category","decrease",0.023614816810344826
