forecast_date,target,location,type,type_id,value
2022-12-26,2 wk flu hosp rate change,01,category,decrease,0.0345167652859961
2022-12-26,2 wk flu hosp rate change,01,category,increase,0.19723865877712
2022-12-26,2 wk flu hosp rate change,01,category,large_decrease,0.0019723865877712
2022-12-26,2 wk flu hosp rate change,01,category,large_increase,0.0167652859960552
2022-12-26,2 wk flu hosp rate change,01,category,stable,0.749506903353057
2022-12-26,2 wk flu hosp rate change,02,category,decrease,0.0364891518737673
2022-12-26,2 wk flu hosp rate change,02,category,increase,0
2022-12-26,2 wk flu hosp rate change,02,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,02,category,large_increase,0
2022-12-26,2 wk flu hosp rate change,02,category,stable,0.963510848126233
2022-12-26,2 wk flu hosp rate change,04,category,decrease,0.0591715976331361
2022-12-26,2 wk flu hosp rate change,04,category,increase,0.187376725838264
2022-12-26,2 wk flu hosp rate change,04,category,large_decrease,0.154832347140039
2022-12-26,2 wk flu hosp rate change,04,category,large_increase,0.361932938856016
2022-12-26,2 wk flu hosp rate change,04,category,stable,0.236686390532544
2022-12-26,2 wk flu hosp rate change,05,category,decrease,0.138067061143984
2022-12-26,2 wk flu hosp rate change,05,category,increase,0.138067061143984
2022-12-26,2 wk flu hosp rate change,05,category,large_decrease,0.0167652859960552
2022-12-26,2 wk flu hosp rate change,05,category,large_increase,0.0167652859960552
2022-12-26,2 wk flu hosp rate change,05,category,stable,0.690335305719921
2022-12-26,2 wk flu hosp rate change,06,category,decrease,0.014792899408284
2022-12-26,2 wk flu hosp rate change,06,category,increase,0.424063116370809
2022-12-26,2 wk flu hosp rate change,06,category,large_decrease,0.0019723865877712
2022-12-26,2 wk flu hosp rate change,06,category,large_increase,0.214003944773176
2022-12-26,2 wk flu hosp rate change,06,category,stable,0.345167652859961
2022-12-26,2 wk flu hosp rate change,08,category,decrease,0
2022-12-26,2 wk flu hosp rate change,08,category,increase,0.359960552268245
2022-12-26,2 wk flu hosp rate change,08,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,08,category,large_increase,0.0019723865877712
2022-12-26,2 wk flu hosp rate change,08,category,stable,0.638067061143984
2022-12-26,2 wk flu hosp rate change,09,category,decrease,0.0591715976331361
2022-12-26,2 wk flu hosp rate change,09,category,increase,0.0591715976331361
2022-12-26,2 wk flu hosp rate change,09,category,large_decrease,0.00690335305719921
2022-12-26,2 wk flu hosp rate change,09,category,large_increase,0.00690335305719922
2022-12-26,2 wk flu hosp rate change,09,category,stable,0.867850098619329
2022-12-26,2 wk flu hosp rate change,10,category,decrease,0.00690335305719921
2022-12-26,2 wk flu hosp rate change,10,category,increase,0.00690335305719922
2022-12-26,2 wk flu hosp rate change,10,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,10,category,large_increase,0
2022-12-26,2 wk flu hosp rate change,10,category,stable,0.986193293885602
2022-12-26,2 wk flu hosp rate change,12,category,decrease,0.0345167652859961
2022-12-26,2 wk flu hosp rate change,12,category,increase,0.0986193293885601
2022-12-26,2 wk flu hosp rate change,12,category,large_decrease,0.0019723865877712
2022-12-26,2 wk flu hosp rate change,12,category,large_increase,0.00690335305719922
2022-12-26,2 wk flu hosp rate change,12,category,stable,0.857988165680473
2022-12-26,2 wk flu hosp rate change,13,category,decrease,0
2022-12-26,2 wk flu hosp rate change,13,category,increase,0.0019723865877712
2022-12-26,2 wk flu hosp rate change,13,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,13,category,large_increase,0
2022-12-26,2 wk flu hosp rate change,13,category,stable,0.998027613412229
2022-12-26,2 wk flu hosp rate change,15,category,decrease,0
2022-12-26,2 wk flu hosp rate change,15,category,increase,0
2022-12-26,2 wk flu hosp rate change,15,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,15,category,large_increase,0
2022-12-26,2 wk flu hosp rate change,15,category,stable,1
2022-12-26,2 wk flu hosp rate change,16,category,decrease,0.00690335305719921
2022-12-26,2 wk flu hosp rate change,16,category,increase,0.384615384615385
2022-12-26,2 wk flu hosp rate change,16,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,16,category,large_increase,0.0660749506903353
2022-12-26,2 wk flu hosp rate change,16,category,stable,0.542406311637081
2022-12-26,2 wk flu hosp rate change,17,category,decrease,0.433925049309665
2022-12-26,2 wk flu hosp rate change,17,category,increase,0
2022-12-26,2 wk flu hosp rate change,17,category,large_decrease,0.54930966469428
2022-12-26,2 wk flu hosp rate change,17,category,large_increase,0
2022-12-26,2 wk flu hosp rate change,17,category,stable,0.0167652859960552
2022-12-26,2 wk flu hosp rate change,18,category,decrease,0.108481262327416
2022-12-26,2 wk flu hosp rate change,18,category,increase,0.0887573964497041
2022-12-26,2 wk flu hosp rate change,18,category,large_decrease,0.105522682445759
2022-12-26,2 wk flu hosp rate change,18,category,large_increase,0.361932938856016
2022-12-26,2 wk flu hosp rate change,18,category,stable,0.335305719921105
2022-12-26,2 wk flu hosp rate change,19,category,decrease,0
2022-12-26,2 wk flu hosp rate change,19,category,increase,0.680473372781065
2022-12-26,2 wk flu hosp rate change,19,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,19,category,large_increase,0.0364891518737673
2022-12-26,2 wk flu hosp rate change,19,category,stable,0.283037475345168
2022-12-26,2 wk flu hosp rate change,20,category,decrease,0.325443786982248
2022-12-26,2 wk flu hosp rate change,20,category,increase,0.00690335305719922
2022-12-26,2 wk flu hosp rate change,20,category,large_decrease,0.0364891518737673
2022-12-26,2 wk flu hosp rate change,20,category,large_increase,0
2022-12-26,2 wk flu hosp rate change,20,category,stable,0.631163708086785
2022-12-26,2 wk flu hosp rate change,21,category,decrease,0.216962524654832
2022-12-26,2 wk flu hosp rate change,21,category,increase,0.0887573964497041
2022-12-26,2 wk flu hosp rate change,21,category,large_decrease,0.0660749506903353
2022-12-26,2 wk flu hosp rate change,21,category,large_increase,0.0167652859960552
2022-12-26,2 wk flu hosp rate change,21,category,stable,0.611439842209073
2022-12-26,2 wk flu hosp rate change,22,category,decrease,0.0019723865877712
2022-12-26,2 wk flu hosp rate change,22,category,increase,0.0364891518737673
2022-12-26,2 wk flu hosp rate change,22,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,22,category,large_increase,0
2022-12-26,2 wk flu hosp rate change,22,category,stable,0.961538461538461
2022-12-26,2 wk flu hosp rate change,23,category,decrease,0
2022-12-26,2 wk flu hosp rate change,23,category,increase,0.276134122287968
2022-12-26,2 wk flu hosp rate change,23,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,23,category,large_increase,0.716962524654832
2022-12-26,2 wk flu hosp rate change,23,category,stable,0.00690335305719921
2022-12-26,2 wk flu hosp rate change,24,category,decrease,0.105522682445759
2022-12-26,2 wk flu hosp rate change,24,category,increase,0
2022-12-26,2 wk flu hosp rate change,24,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,24,category,large_increase,0
2022-12-26,2 wk flu hosp rate change,24,category,stable,0.894477317554241
2022-12-26,2 wk flu hosp rate change,25,category,decrease,0
2022-12-26,2 wk flu hosp rate change,25,category,increase,0.152859960552268
2022-12-26,2 wk flu hosp rate change,25,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,25,category,large_increase,0.845167652859961
2022-12-26,2 wk flu hosp rate change,25,category,stable,0.0019723865877712
2022-12-26,2 wk flu hosp rate change,26,category,decrease,0
2022-12-26,2 wk flu hosp rate change,26,category,increase,0.00690335305719921
2022-12-26,2 wk flu hosp rate change,26,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,26,category,large_increase,0.993096646942801
2022-12-26,2 wk flu hosp rate change,26,category,stable,0
2022-12-26,2 wk flu hosp rate change,28,category,decrease,0.562130177514793
2022-12-26,2 wk flu hosp rate change,28,category,increase,0
2022-12-26,2 wk flu hosp rate change,28,category,large_decrease,0.283037475345168
2022-12-26,2 wk flu hosp rate change,28,category,large_increase,0
2022-12-26,2 wk flu hosp rate change,28,category,stable,0.154832347140039
2022-12-26,2 wk flu hosp rate change,29,category,decrease,0.014792899408284
2022-12-26,2 wk flu hosp rate change,29,category,increase,0
2022-12-26,2 wk flu hosp rate change,29,category,large_decrease,0.983234714003945
2022-12-26,2 wk flu hosp rate change,29,category,large_increase,0
2022-12-26,2 wk flu hosp rate change,29,category,stable,0.0019723865877712
2022-12-26,2 wk flu hosp rate change,30,category,decrease,0.281065088757396
2022-12-26,2 wk flu hosp rate change,30,category,increase,0
2022-12-26,2 wk flu hosp rate change,30,category,large_decrease,0.0019723865877712
2022-12-26,2 wk flu hosp rate change,30,category,large_increase,0
2022-12-26,2 wk flu hosp rate change,30,category,stable,0.716962524654832
2022-12-26,2 wk flu hosp rate change,31,category,decrease,0.0167652859960552
2022-12-26,2 wk flu hosp rate change,31,category,increase,0.0364891518737673
2022-12-26,2 wk flu hosp rate change,31,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,31,category,large_increase,0
2022-12-26,2 wk flu hosp rate change,31,category,stable,0.946745562130177
2022-12-26,2 wk flu hosp rate change,32,category,decrease,0.00690335305719921
2022-12-26,2 wk flu hosp rate change,32,category,increase,0.562130177514793
2022-12-26,2 wk flu hosp rate change,32,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,32,category,large_increase,0.154832347140039
2022-12-26,2 wk flu hosp rate change,32,category,stable,0.276134122287968
2022-12-26,2 wk flu hosp rate change,33,category,decrease,0
2022-12-26,2 wk flu hosp rate change,33,category,increase,0.877712031558185
2022-12-26,2 wk flu hosp rate change,33,category,large_decrease,0
2022-12-26,2 wk flu hosp rate change,33,category,large_increase,0.105522682445759
2022-12-26,2 wk flu hosp rate change,33,category,stable,0.0167652859960552
2022-12-26,2 wk flu hosp rate change,34,category,decrease,0.108481262327416
2022-12-26,2 wk flu hosp rate change,34,category,increase,0.14792899408284
2022-12-26,2 wk flu hosp rate change,34,category,large_decrease,0.105522682445759
2022-12-26,2 wk flu hosp rate change,34,category,large_increase,0.214003944773176
2022-12-26,2 wk flu hosp rate change,34,category,stable,0.424063116370809
2022-12-26,2 wk flu hosp rate change,35,category,decrease,0.0493096646942801
2022-12-26,2 wk flu hosp rate change,35,category,increase,0.256410256410256
2022-12-26,2 wk flu hosp rate change,35,category,large_decrease,0.0167652859960552
