location,quantile,forecast_date,value,target_end_date,target,type
01,0.01,2022-12-12,7.903128015843256,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.025,2022-12-12,10.923386181770406,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.05,2022-12-12,13.007504217653226,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.1,2022-12-12,15.611856173091844,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.15,2022-12-12,16.954257587226156,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.2,2022-12-12,18.50891259237956,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.25,2022-12-12,19.29610702350723,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.3,2022-12-12,19.79192821838221,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.35,2022-12-12,20.329254711079955,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.4,2022-12-12,20.84992712262811,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.45,2022-12-12,22.00162881997124,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.5,2022-12-12,22.77594709375915,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.55,2022-12-12,23.232920027290263,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.6,2022-12-12,23.991086840800666,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.65,2022-12-12,24.501823285651938,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.7,2022-12-12,25.25904153641585,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.75,2022-12-12,26.193186996867016,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.8,2022-12-12,26.633809209422154,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.85,2022-12-12,28.069559660473452,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.9,2022-12-12,32.144489000134044,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.95,2022-12-12,36.70940216108588,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.975,2022-12-12,38.12515106663543,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.99,2022-12-12,39.229911915268055,2022-12-10,0 wk ahead inc flu hosp,quantile
01,0.01,2022-12-12,57.03543690795085,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.025,2022-12-12,63.86907100793868,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.05,2022-12-12,79.1551149451532,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.1,2022-12-12,99.1225384376313,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.15,2022-12-12,109.67094181916254,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.2,2022-12-12,123.39746741303776,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.25,2022-12-12,137.17644262917932,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.3,2022-12-12,150.43963972154646,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.35,2022-12-12,159.44060374742193,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.4,2022-12-12,166.94806676017538,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.45,2022-12-12,172.14666458040722,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.5,2022-12-12,176.9984260800151,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.55,2022-12-12,181.73513216155433,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.6,2022-12-12,185.51109717010047,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.65,2022-12-12,189.2652284904897,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.7,2022-12-12,193.83762851873544,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.75,2022-12-12,200.2319328385728,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.8,2022-12-12,209.86989443825573,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.85,2022-12-12,238.2407555063858,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.9,2022-12-12,269.32901888133546,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.95,2022-12-12,341.50957384636706,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.975,2022-12-12,372.0360946989838,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.99,2022-12-12,409.4739094986626,2022-12-17,1 wk ahead inc flu hosp,quantile
01,0.01,2022-12-12,32.33966406366617,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.025,2022-12-12,36.32545956358006,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.05,2022-12-12,43.837967220081545,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.1,2022-12-12,55.52059298850253,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.15,2022-12-12,70.72687419274385,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.2,2022-12-12,85.88865173962014,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.25,2022-12-12,98.61117399051848,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.3,2022-12-12,115.98484125816638,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.35,2022-12-12,131.1259825666432,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.4,2022-12-12,137.3356174181784,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.45,2022-12-12,142.57865510834804,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.5,2022-12-12,147.82809647779817,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.55,2022-12-12,152.06191638341943,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.6,2022-12-12,156.39426842330926,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.65,2022-12-12,161.99284099273632,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.7,2022-12-12,168.3792627457936,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.75,2022-12-12,175.77615648276003,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.8,2022-12-12,188.14794717051765,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.85,2022-12-12,225.853553659406,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.9,2022-12-12,271.62824917053,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.95,2022-12-12,343.4631726850852,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.975,2022-12-12,402.7259608382846,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.99,2022-12-12,436.82391812167145,2022-12-24,2 wk ahead inc flu hosp,quantile
01,0.01,2022-12-12,9.92864523885613,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.025,2022-12-12,11.690998347075256,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.05,2022-12-12,19.144056487806985,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.1,2022-12-12,35.60989937119421,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.15,2022-12-12,62.275041153347544,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.2,2022-12-12,96.01753033180889,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.25,2022-12-12,111.57737273208328,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.3,2022-12-12,120.102126771966,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.35,2022-12-12,125.37332322071116,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.4,2022-12-12,130.39086436179906,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.45,2022-12-12,135.02472264127886,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.5,2022-12-12,140.19380642498467,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.55,2022-12-12,146.74991311254058,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.6,2022-12-12,154.6198861956965,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.65,2022-12-12,163.69652994503548,2022-12-31,3 wk ahead inc flu hosp,quantile
01,0.7,2022-12-12,171.56995272353788,2022-12-31,3 wk ahead inc flu hosp,quantile
