target,target_end_date,quantile,value,location,type,forecast_date
1 wk ahead inc flu hosp,2022-12-31,0.010,544.598,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.025,676.723,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.050,785.571,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.100,904.707,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.150,991.582,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.200,1058.116,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.250,1103.219,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.300,1153.890,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.350,1198.644,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.400,1241.150,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.450,1278.883,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.500,1320.775,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.550,1357.941,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.600,1394.336,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.650,1437.317,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.700,1479.747,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.750,1528.840,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.800,1579.408,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.850,1641.715,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.900,1729.311,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.950,1861.014,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.975,1978.515,48,quantile,2022-12-26
1 wk ahead inc flu hosp,2022-12-31,0.990,2129.127,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.010,298.371,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.025,415.086,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.050,521.846,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.100,663.325,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.150,746.296,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.200,820.898,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.250,874.549,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.300,929.354,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.350,976.293,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.400,1019.576,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.450,1060.986,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.500,1101.015,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.550,1146.296,48,quantile,2022-12-26
2 wk ahead inc flu hosp,2023-01-07,0.600,1187.272,48,quantile,2022-12-26
