forecast_date,target,target_end_date,type,quantile,value,location
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,92.9933337200637,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,97.04989388394782,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,95.51237942806338,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,50.17748537887336,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,61.86655985467759,08
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,56.260940629786475,08
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,46.187964218921216,08
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,44.322513772525575,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,27.066721048223684,09
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,21.252051737337798,09
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,13.934122979173388,09
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,11.906261306872693,09
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,92.60049804798763,13
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,93.16823015394505,13
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,75.85459992499946,13
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,94.6452811671536,13
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,75.41780994386154,24
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,73.39575478334913,24
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,65.39398798140682,24
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,58.78738362989371,24
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,284.77836276359847,26
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,282.3329850989729,26
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,204.26510760374137,26
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,203.24143500730634,26
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,33.41534386983459,27
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,32.09714232535279,27
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,29.439777483954664,27
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,29.673925283516265,27
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,32.120268123817254,35
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,30.784736752902788,35
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,27.241796210161816,35
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,24.558281537440294,35
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,333.7714631377,36
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,321.86748304076275,36
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,260.6281056457426,36
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,231.7536197863429,36
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,132.52834705984304,39
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,70.52128138416862,39
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,114.1036944846017,39
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,152.3817616108904,39
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,39.30716735104417,41
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,26.530362088876572,41
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,19.28989527522795,41
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,14.54808044686447,41
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,125.608476814746,47
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,175.1301743651813,47
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,113.5652997431648,47
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,86.60958839513151,47
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,point,NA,6287.1392275935395,US
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,point,NA,6112.781040627277,US
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,point,NA,5714.100121612855,US
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,point,NA,5571.980013952284,US
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.01,12.767178403845719,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.025,25.616537290863068,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.05,44.92274256828305,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.1,53.672131660339986,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.15,66.04988125887171,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.2,76.62405603130047,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.25,83.29395638721738,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.3,89.13465094196965,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.35,91.80482927870949,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.4,92.3313516314078,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.45,92.82462380020408,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.5,92.9933337200637,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.55,94.48092334874568,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.6,96.13474027093062,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.65,100.60965935033957,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.7,110.19914923956557,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.75,123.78379172085207,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.8,139.49360499710423,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.85,169.96195247712876,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.9,205.52013427888136,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.95,291.00292433526744,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.975,399.7088183525452,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.99,3241.9863137682833,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.01,12.019190150951957,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.025,23.048332682832907,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.05,32.460608403207644,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.1,49.260688468140465,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.15,59.4321817744041,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.2,67.75182368027868,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.25,73.46499082529924,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.3,80.49609389670258,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.35,85.49590485552676,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.4,91.45099862439366,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.45,93.69881785119944,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.5,97.04989388394782,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.55,102.38311795370754,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.6,109.67295274345544,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.65,119.62958062674198,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.7,131.7256433851084,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.75,144.3706806316929,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.8,161.65708749513752,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.85,185.14277748750234,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.9,221.83957456710493,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.95,330.9059226173415,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.975,565.1694377569127,06
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.99,1262.3725947364812,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.01,6.887731439393375,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.025,12.115262798632882,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.05,18.953539037068296,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.1,37.66487789567428,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.15,47.93763614175809,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.2,56.796778342321225,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.25,64.04372142166577,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.3,72.86043926420955,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.35,78.72361648156345,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.4,85.8012700517602,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.45,90.67340979430128,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.5,95.51237942806338,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.55,103.22642980502792,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.6,111.8189773466038,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.65,123.3998965978584,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.7,138.87616405416145,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.75,160.8823889985734,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.8,182.7567276750674,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.85,225.99437298209014,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.9,298.8194123230274,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.95,477.7084177166143,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.975,1075.4953056186637,06
2023-01-23,3 wk ahead inc flu hosp,2023-02-11,quantile,0.99,2305.7243430982016,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.01,2.343369741099669,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.025,5.802580218472521,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.05,9.87267269814555,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.1,16.014238211867582,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.15,21.4790255874527,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.2,26.88577423465052,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.25,31.14594394488578,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.3,35.51363744623914,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.35,39.28123201155846,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.4,43.36224474941699,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.45,46.777024762930466,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.5,50.17748537887336,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.55,55.58413887189036,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.6,61.988271702262814,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.65,70.07868625508425,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.7,79.51552012917904,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.75,91.51642628723799,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.8,105.41816196480451,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.85,132.18963190244688,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.9,164.17609644345634,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.95,288.0795638654194,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.975,461.6939479294422,06
2023-01-23,4 wk ahead inc flu hosp,2023-02-18,quantile,0.99,704.6425744431461,06
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.01,6.965700915052605,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.025,10.030676587077963,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.05,24.83319203315616,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.1,35.75145864738408,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.15,44.129215416870565,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.2,49.84314181539233,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.25,52.678263619243076,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.3,53.62504381303938,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.35,54.2294002025959,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.4,55.447092738216085,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.45,57.52996398265749,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.5,61.86655985467759,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.55,66.86072152641609,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.6,70.6663348716315,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.65,75.04622236051853,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.7,79.88642503293404,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.75,86.85512005263041,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.8,96.42316196478056,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.85,111.50534024638715,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.9,123.28565874982063,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.95,158.96761191044033,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.975,191.97750713557323,08
2023-01-23,1 wk ahead inc flu hosp,2023-01-28,quantile,0.99,350.51425746492833,08
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.01,5.0479016015886655,08
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.025,7.598379392148129,08
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.05,11.837406364216287,08
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.1,22.9245940777271,08
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.15,30.021381529600436,08
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.2,35.063594614880266,08
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.25,38.90075737588656,08
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.3,41.61905286168849,08
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.35,44.726981318340734,08
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.4,48.72998718821526,08
2023-01-23,2 wk ahead inc flu hosp,2023-02-04,quantile,0.45,52.53551221519092,08
