"forecast_date","target","location","location_name","type","type_id","value"
2022-10-24,"2 wk flu hosp rate change","01","Alabama","category","large_increase",0.1905035269113
2022-10-24,"2 wk flu hosp rate change","02","Alaska","category","large_increase",3.69130544197738e-06
2022-10-24,"2 wk flu hosp rate change","04","Arizona","category","large_increase",1.04259321176414e-08
2022-10-24,"2 wk flu hosp rate change","05","Arkansas","category","large_increase",0.143193677502363
2022-10-24,"2 wk flu hosp rate change","06","California","category","large_increase",0
2022-10-24,"2 wk flu hosp rate change","08","Colorado","category","large_increase",0
2022-10-24,"2 wk flu hosp rate change","09","Connecticut","category","large_increase",9.0256760409968e-07
2022-10-24,"2 wk flu hosp rate change","10","Delaware","category","large_increase",0
2022-10-24,"2 wk flu hosp rate change","11","District of Columbia","category","large_increase",6.80130815311486e-06
2022-10-24,"2 wk flu hosp rate change","12","Florida","category","large_increase",1.34292577058659e-12
2022-10-24,"2 wk flu hosp rate change","13","Georgia","category","large_increase",0.00303992072184822
2022-10-24,"2 wk flu hosp rate change","15","Hawaii","category","large_increase",3.59490246643057e-05
2022-10-24,"2 wk flu hosp rate change","16","Idaho","category","large_increase",1.29128705506076e-08
2022-10-24,"2 wk flu hosp rate change","17","Illinois","category","large_increase",4.44089209850063e-16
2022-10-24,"2 wk flu hosp rate change","18","Indiana","category","large_increase",2.64440860286985e-06
2022-10-24,"2 wk flu hosp rate change","19","Iowa","category","large_increase",3.27150228841555e-05
2022-10-24,"2 wk flu hosp rate change","20","Kansas","category","large_increase",0.000294766010602632
2022-10-24,"2 wk flu hosp rate change","21","Kentucky","category","large_increase",2.03449271141132e-06
2022-10-24,"2 wk flu hosp rate change","22","Louisiana","category","large_increase",0.113230299613194
2022-10-24,"2 wk flu hosp rate change","23","Maine","category","large_increase",0
2022-10-24,"2 wk flu hosp rate change","24","Maryland","category","large_increase",0.00179630422322319
2022-10-24,"2 wk flu hosp rate change","25","Massachusetts","category","large_increase",0
2022-10-24,"2 wk flu hosp rate change","26","Michigan","category","large_increase",0
2022-10-24,"2 wk flu hosp rate change","27","Minnesota","category","large_increase",6.79851086538008e-09
2022-10-24,"2 wk flu hosp rate change","28","Mississippi","category","large_increase",0.183699588028037
2022-10-24,"2 wk flu hosp rate change","29","Missouri","category","large_increase",5.89898744185469e-07
2022-10-24,"2 wk flu hosp rate change","30","Montana","category","large_increase",0
2022-10-24,"2 wk flu hosp rate change","31","Nebraska","category","large_increase",0.068401281164197
2022-10-24,"2 wk flu hosp rate change","32","Nevada","category","large_increase",0.0168597263575164
2022-10-24,"2 wk flu hosp rate change","33","New Hampshire","category","large_increase",0
2022-10-24,"2 wk flu hosp rate change","34","New Jersey","category","large_increase",7.89738650908145e-06
2022-10-24,"2 wk flu hosp rate change","35","New Mexico","category","large_increase",0.132191774378996
2022-10-24,"2 wk flu hosp rate change","36","New York","category","large_increase",0
2022-10-24,"2 wk flu hosp rate change","37","North Carolina","category","large_increase",0.00303898962476667
2022-10-24,"2 wk flu hosp rate change","38","North Dakota","category","large_increase",2.09159540909276e-07
2022-10-24,"2 wk flu hosp rate change","39","Ohio","category","large_increase",2.8512192606911e-11
2022-10-24,"2 wk flu hosp rate change","40","Oklahoma","category","large_increase",2.78164353189059e-05
2022-10-24,"2 wk flu hosp rate change","41","Oregon","category","large_increase",3.3504354846059e-10
2022-10-24,"2 wk flu hosp rate change","42","Pennsylvania","category","large_increase",1.95841896344362e-06
2022-10-24,"2 wk flu hosp rate change","72","Puerto Rico","category","large_increase",0.188096574937003
2022-10-24,"2 wk flu hosp rate change","44","Rhode Island","category","large_increase",4.50972592602739e-13
2022-10-24,"2 wk flu hosp rate change","45","South Carolina","category","large_increase",0.0594749325745961
2022-10-24,"2 wk flu hosp rate change","46","South Dakota","category","large_increase",0.000351674724009654
2022-10-24,"2 wk flu hosp rate change","47","Tennessee","category","large_increase",0.00993955862854756
2022-10-24,"2 wk flu hosp rate change","48","Texas","category","large_increase",2.45072144799963e-08
2022-10-24,"2 wk flu hosp rate change","US","US","category","large_increase",0
2022-10-24,"2 wk flu hosp rate change","49","Utah","category","large_increase",1.80183568065928e-08
2022-10-24,"2 wk flu hosp rate change","50","Vermont","category","large_increase",0
2022-10-24,"2 wk flu hosp rate change","78","Virgin Islands","category","large_increase",0
2022-10-24,"2 wk flu hosp rate change","51","Virginia","category","large_increase",0.00576228482009655
2022-10-24,"2 wk flu hosp rate change","53","Washington","category","large_increase",3.67754549035482e-08
2022-10-24,"2 wk flu hosp rate change","54","West Virginia","category","large_increase",0.1277169495342
2022-10-24,"2 wk flu hosp rate change","55","Wisconsin","category","large_increase",1.11022302462516e-16
2022-10-24,"2 wk flu hosp rate change","56","Wyoming","category","large_increase",7.1151973202177e-12
2022-10-24,"2 wk flu hosp rate change","01","Alabama","category","increase",0.179310954248683
2022-10-24,"2 wk flu hosp rate change","02","Alaska","category","increase",0.0256685760574072
2022-10-24,"2 wk flu hosp rate change","04","Arizona","category","increase",0.00449906965520852
2022-10-24,"2 wk flu hosp rate change","05","Arkansas","category","increase",0.206492887647458
2022-10-24,"2 wk flu hosp rate change","06","California","category","increase",4.46116477093028e-11
2022-10-24,"2 wk flu hosp rate change","08","Colorado","category","increase",8.00292435654271e-08
2022-10-24,"2 wk flu hosp rate change","09","Connecticut","category","increase",0.0172887289689593
2022-10-24,"2 wk flu hosp rate change","10","Delaware","category","increase",0
2022-10-24,"2 wk flu hosp rate change","11","District of Columbia","category","increase",0.0249943783019045
2022-10-24,"2 wk flu hosp rate change","12","Florida","category","increase",0.00109868766729004
2022-10-24,"2 wk flu hosp rate change","13","Georgia","category","increase",0.144362217655957
2022-10-24,"2 wk flu hosp rate change","15","Hawaii","category","increase",0.0483231887563587
2022-10-24,"2 wk flu hosp rate change","16","Idaho","category","increase",0.00143048970010706
2022-10-24,"2 wk flu hosp rate change","17","Illinois","category","increase",5.81224946972769e-05
2022-10-24,"2 wk flu hosp rate change","18","Indiana","category","increase",0.0372411831029895
2022-10-24,"2 wk flu hosp rate change","19","Iowa","category","increase",0.0208653653100019
2022-10-24,"2 wk flu hosp rate change","20","Kansas","category","increase",0.0315582549078162
2022-10-24,"2 wk flu hosp rate change","21","Kentucky","category","increase",0.0114477909490996
2022-10-24,"2 wk flu hosp rate change","22","Louisiana","category","increase",0.187118335859644
2022-10-24,"2 wk flu hosp rate change","23","Maine","category","increase",0
2022-10-24,"2 wk flu hosp rate change","24","Maryland","category","increase",0.118165398752467
2022-10-24,"2 wk flu hosp rate change","25","Massachusetts","category","increase",5.86941872882107e-09
2022-10-24,"2 wk flu hosp rate change","26","Michigan","category","increase",1.59513957598278e-10
2022-10-24,"2 wk flu hosp rate change","27","Minnesota","category","increase",0.00359203681153009
2022-10-24,"2 wk flu hosp rate change","28","Mississippi","category","increase",0.216105313942267
2022-10-24,"2 wk flu hosp rate change","29","Missouri","category","increase",0.017848757722265
2022-10-24,"2 wk flu hosp rate change","30","Montana","category","increase",0
2022-10-24,"2 wk flu hosp rate change","31","Nebraska","category","increase",0.141447965965104
2022-10-24,"2 wk flu hosp rate change","32","Nevada","category","increase",0.11745918375664
2022-10-24,"2 wk flu hosp rate change","33","New Hampshire","category","increase",1.73494552058173e-12
