"forecast_date","target","location","type","type_id","value"
2022-12-12,"2 wk flu hosp rate change","01","category","large_increase",0.218121406470239
2022-12-12,"2 wk flu hosp rate change","02","category","large_increase",0.416221826702911
2022-12-12,"2 wk flu hosp rate change","04","category","large_increase",0.390972291127695
2022-12-12,"2 wk flu hosp rate change","05","category","large_increase",0.438218868108279
2022-12-12,"2 wk flu hosp rate change","06","category","large_increase",0.386502729694851
2022-12-12,"2 wk flu hosp rate change","08","category","large_increase",0.410923005897221
2022-12-12,"2 wk flu hosp rate change","09","category","large_increase",0.476910126922885
2022-12-12,"2 wk flu hosp rate change","10","category","large_increase",0.21508501460727
2022-12-12,"2 wk flu hosp rate change","11","category","large_increase",0.0859663488348835
2022-12-12,"2 wk flu hosp rate change","12","category","large_increase",0.0661698052588811
2022-12-12,"2 wk flu hosp rate change","13","category","large_increase",0.00317218756206827
2022-12-12,"2 wk flu hosp rate change","15","category","large_increase",0.117845853554979
2022-12-12,"2 wk flu hosp rate change","16","category","large_increase",0.440972926743495
2022-12-12,"2 wk flu hosp rate change","17","category","large_increase",0.287962607720551
2022-12-12,"2 wk flu hosp rate change","18","category","large_increase",0.468047726536716
2022-12-12,"2 wk flu hosp rate change","19","category","large_increase",0.374941045076627
2022-12-12,"2 wk flu hosp rate change","20","category","large_increase",0.401998804190683
2022-12-12,"2 wk flu hosp rate change","21","category","large_increase",0.365799263093272
2022-12-12,"2 wk flu hosp rate change","22","category","large_increase",0.347388251936983
2022-12-12,"2 wk flu hosp rate change","23","category","large_increase",0.417720744756925
2022-12-12,"2 wk flu hosp rate change","24","category","large_increase",0.22824840306604
2022-12-12,"2 wk flu hosp rate change","25","category","large_increase",0.496289450288051
2022-12-12,"2 wk flu hosp rate change","26","category","large_increase",0.431041972598004
2022-12-12,"2 wk flu hosp rate change","27","category","large_increase",0.291254585404518
2022-12-12,"2 wk flu hosp rate change","28","category","large_increase",0.182136405926003
2022-12-12,"2 wk flu hosp rate change","29","category","large_increase",0.467439015797252
2022-12-12,"2 wk flu hosp rate change","30","category","large_increase",0.539880392082637
2022-12-12,"2 wk flu hosp rate change","31","category","large_increase",0.287246953325139
2022-12-12,"2 wk flu hosp rate change","32","category","large_increase",0.425756175021591
2022-12-12,"2 wk flu hosp rate change","33","category","large_increase",0.340716771590919
2022-12-12,"2 wk flu hosp rate change","34","category","large_increase",0.383787416029255
2022-12-12,"2 wk flu hosp rate change","35","category","large_increase",0.692470764707845
2022-12-12,"2 wk flu hosp rate change","36","category","large_increase",0.45528924458706
2022-12-12,"2 wk flu hosp rate change","37","category","large_increase",0.174418128026157
2022-12-12,"2 wk flu hosp rate change","38","category","large_increase",0.328567800485672
2022-12-12,"2 wk flu hosp rate change","39","category","large_increase",0.278722590586127
2022-12-12,"2 wk flu hosp rate change","40","category","large_increase",0.474331806957804
2022-12-12,"2 wk flu hosp rate change","41","category","large_increase",0.477544997786849
2022-12-12,"2 wk flu hosp rate change","42","category","large_increase",0.350999750608333
2022-12-12,"2 wk flu hosp rate change","44","category","large_increase",0.250159786238125
2022-12-12,"2 wk flu hosp rate change","45","category","large_increase",0.0910261737530262
2022-12-12,"2 wk flu hosp rate change","46","category","large_increase",0.399912323267203
2022-12-12,"2 wk flu hosp rate change","47","category","large_increase",0.357870203475267
2022-12-12,"2 wk flu hosp rate change","48","category","large_increase",0.187917305820261
2022-12-12,"2 wk flu hosp rate change","49","category","large_increase",0.21999428533654
2022-12-12,"2 wk flu hosp rate change","50","category","large_increase",0.300167592642531
2022-12-12,"2 wk flu hosp rate change","51","category","large_increase",0.157688655246347
2022-12-12,"2 wk flu hosp rate change","53","category","large_increase",0.351614380265008
2022-12-12,"2 wk flu hosp rate change","54","category","large_increase",0.422669828946968
2022-12-12,"2 wk flu hosp rate change","55","category","large_increase",0.536924550184404
2022-12-12,"2 wk flu hosp rate change","56","category","large_increase",0.168070863005662
2022-12-12,"2 wk flu hosp rate change","72","category","large_increase",0.114235776656718
2022-12-12,"2 wk flu hosp rate change","78","category","large_increase",0
2022-12-12,"2 wk flu hosp rate change","US","category","large_increase",0.234415897207055
2022-12-12,"2 wk flu hosp rate change","01","category","increase",0.136932263082256
2022-12-12,"2 wk flu hosp rate change","02","category","increase",0.0953304035677268
2022-12-12,"2 wk flu hosp rate change","04","category","increase",0.0807688132319081
2022-12-12,"2 wk flu hosp rate change","05","category","increase",0.0801878342468934
2022-12-12,"2 wk flu hosp rate change","06","category","increase",0.117227747936598
2022-12-12,"2 wk flu hosp rate change","08","category","increase",0.180831102481065
2022-12-12,"2 wk flu hosp rate change","09","category","increase",0.0288509180289746
2022-12-12,"2 wk flu hosp rate change","10","category","increase",0.115482835228848
2022-12-12,"2 wk flu hosp rate change","11","category","increase",0.158838562959091
2022-12-12,"2 wk flu hosp rate change","12","category","increase",0.187611721825012
2022-12-12,"2 wk flu hosp rate change","13","category","increase",0.075980427140211
2022-12-12,"2 wk flu hosp rate change","15","category","increase",0.166349924208277
2022-12-12,"2 wk flu hosp rate change","16","category","increase",0.0207803724721547
