"forecast_date","target_end_date","target","location","type","quantile","value"
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.01,0.0166578924606243
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.025,0.0209404479419887
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.05,0.0264684198400968
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.1,0.0382540707119044
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.15,0.056673285651424
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.2,0.0811643980333298
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.25,0.121743997792286
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.3,0.136059347255663
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.35,0.168352872366147
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.4,0.196112669763287
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.45,0.229012756591373
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.5,0.283996024319972
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.55,0.429500408988488
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.6,0.468918493744169
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.65,0.581906952760011
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.7,0.645888181388525
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.75,0.941012314617801
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.8,1.02548580793171
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.85,1.32782763347469
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.9,1.73180009912263
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.95,2.33112760822424
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.975,3.7409891507397
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","02","quantile",0.99,5.24384960013196
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.01,1.02720463670563
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.025,1.28824680759132
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.05,1.90231106871225
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.1,3.075982852786
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.15,3.46506162060136
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.2,3.84278776789385
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.25,4.35354745404254
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.3,5.4106165588206
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.35,6.92983976603443
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.4,8.42630711872876
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.45,9.30947141181419
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.5,10.3183681126782
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.55,10.8017760397063
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.6,12.6618524338202
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.65,15.1901040089522
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.7,16.8916747522252
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.75,18.9975560549887
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.8,21.3617418599965
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.85,22.88622411161
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.9,25.5226363699662
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.95,34.5485088059979
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.975,39.1538206120157
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","01","quantile",0.99,41.4376081346394
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.01,0.496998812287547
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.025,0.556017550483116
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.05,0.945401262784214
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.1,1.45738324044528
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.15,2.04629415935842
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.2,2.31642255403687
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.25,2.5725998045238
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.3,3.04289140182706
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.35,3.51479971986772
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.4,3.91189881289429
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.45,4.13257609883271
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.5,4.4301006019202
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.55,6.48336904217751
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.6,6.82663859509376
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.65,8.85579046865964
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.7,10.4070870476809
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.75,11.783191468346
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.8,13.8559355801432
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.85,15.7030362947669
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.9,18.0853373818657
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.95,21.9770384205446
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.975,24.7403613510248
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","05","quantile",0.99,33.3593016206718
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","04","quantile",0.01,10.2635982841421
2023-05-01,"2023-05-06","1 wk ahead inc flu hosp","04","quantile",0.025,11.4859464635035
