forecast_date,target_end_date,target,location,type,quantile,value
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.01,0.532463434724566
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.025,1.0064769406197387
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.05,1.3339798842027535
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.1,2.035995684165608
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.15,2.360114533964716
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.2,2.8570954413976395
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.25,3.273239114890462
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.3,3.559323293180685
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.35,3.9559855235241637
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.4,4.5727307881339225
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.45,4.935420331224207
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.5,5.387809882085587
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.55,5.973928755161186
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.6,6.307344800358068
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.65,6.849880161019835
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.7,7.382184193588568
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.75,7.8816955212226585
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.8,8.746462925027275
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.85,9.72923195647141
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.9,11.73599073973863
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.95,14.20299405970762
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.975,15.66856293308036
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,02,quantile,0.99,22.159437974939948
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,01,quantile,0.01,9.439276980244236
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,01,quantile,0.025,10.031290640626978
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,01,quantile,0.05,12.013049393101973
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,01,quantile,0.1,14.856400954551685
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,01,quantile,0.15,17.863207468018885
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,01,quantile,0.2,19.33996608077481
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,01,quantile,0.25,21.744806020870602
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,01,quantile,0.3,23.2390726019542
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,01,quantile,0.35,24.619296948200464
2023-02-06,2023-02-11,1 wk ahead inc flu hosp,01,quantile,0.4,27.505433682495863
