target,location,forecast_date,target_end_date,quantile,value,type
1 wk ahead inc flu hosp,02,2022-05-30,2022-06-04,0.010,1,quantile
2 wk ahead inc flu hosp,02,2022-05-30,2022-06-11,0.010,0,quantile
3 wk ahead inc flu hosp,02,2022-05-30,2022-06-18,0.010,0,quantile
4 wk ahead inc flu hosp,02,2022-05-30,2022-06-25,0.010,0,quantile
1 wk ahead inc flu hosp,02,2022-05-30,2022-06-04,0.025,2,quantile
2 wk ahead inc flu hosp,02,2022-05-30,2022-06-11,0.025,1,quantile
3 wk ahead inc flu hosp,02,2022-05-30,2022-06-18,0.025,1,quantile
4 wk ahead inc flu hosp,02,2022-05-30,2022-06-25,0.025,0,quantile
1 wk ahead inc flu hosp,02,2022-05-30,2022-06-04,0.050,3,quantile
2 wk ahead inc flu hosp,02,2022-05-30,2022-06-11,0.050,2,quantile
3 wk ahead inc flu hosp,02,2022-05-30,2022-06-18,0.050,2,quantile
4 wk ahead inc flu hosp,02,2022-05-30,2022-06-25,0.050,1,quantile
1 wk ahead inc flu hosp,02,2022-05-30,2022-06-04,0.100,5,quantile
2 wk ahead inc flu hosp,02,2022-05-30,2022-06-11,0.100,4,quantile
3 wk ahead inc flu hosp,02,2022-05-30,2022-06-18,0.100,3,quantile
4 wk ahead inc flu hosp,02,2022-05-30,2022-06-25,0.100,3,quantile
1 wk ahead inc flu hosp,02,2022-05-30,2022-06-04,0.150,6,quantile
2 wk ahead inc flu hosp,02,2022-05-30,2022-06-11,0.150,5,quantile
3 wk ahead inc flu hosp,02,2022-05-30,2022-06-18,0.150,5,quantile
4 wk ahead inc flu hosp,02,2022-05-30,2022-06-25,0.150,5,quantile
1 wk ahead inc flu hosp,02,2022-05-30,2022-06-04,0.200,7,quantile
2 wk ahead inc flu hosp,02,2022-05-30,2022-06-11,0.200,7,quantile
3 wk ahead inc flu hosp,02,2022-05-30,2022-06-18,0.200,6,quantile
4 wk ahead inc flu hosp,02,2022-05-30,2022-06-25,0.200,6,quantile
1 wk ahead inc flu hosp,02,2022-05-30,2022-06-04,0.250,8,quantile
2 wk ahead inc flu hosp,02,2022-05-30,2022-06-11,0.250,8,quantile
3 wk ahead inc flu hosp,02,2022-05-30,2022-06-18,0.250,8,quantile
4 wk ahead inc flu hosp,02,2022-05-30,2022-06-25,0.250,8,quantile
1 wk ahead inc flu hosp,02,2022-05-30,2022-06-04,0.300,9,quantile
2 wk ahead inc flu hosp,02,2022-05-30,2022-06-11,0.300,9,quantile
3 wk ahead inc flu hosp,02,2022-05-30,2022-06-18,0.300,9,quantile
4 wk ahead inc flu hosp,02,2022-05-30,2022-06-25,0.300,10,quantile
1 wk ahead inc flu hosp,02,2022-05-30,2022-06-04,0.350,10,quantile
2 wk ahead inc flu hosp,02,2022-05-30,2022-06-11,0.350,11,quantile
3 wk ahead inc flu hosp,02,2022-05-30,2022-06-18,0.350,11,quantile
4 wk ahead inc flu hosp,02,2022-05-30,2022-06-25,0.350,12,quantile
1 wk ahead inc flu hosp,02,2022-05-30,2022-06-04,0.400,11,quantile
