"target","location","forecast_date","target_end_date","quantile","value","type"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.01,0,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.01,0,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.01,0,"quantile"
"4 wk ahead inc flu hosp","02",2022-04-18,2022-05-14,0.01,0,"quantile"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.025,0,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.025,0,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.025,0,"quantile"
"4 wk ahead inc flu hosp","02",2022-04-18,2022-05-14,0.025,0,"quantile"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.05,0,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.05,0,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.05,0,"quantile"
"4 wk ahead inc flu hosp","02",2022-04-18,2022-05-14,0.05,0,"quantile"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.1,1,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.1,0,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.1,0,"quantile"
"4 wk ahead inc flu hosp","02",2022-04-18,2022-05-14,0.1,0,"quantile"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.15,2,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.15,1,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.15,0,"quantile"
"4 wk ahead inc flu hosp","02",2022-04-18,2022-05-14,0.15,0,"quantile"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.2,3,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.2,2,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.2,1,"quantile"
"4 wk ahead inc flu hosp","02",2022-04-18,2022-05-14,0.2,1,"quantile"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.25,4,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.25,3,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.25,3,"quantile"
"4 wk ahead inc flu hosp","02",2022-04-18,2022-05-14,0.25,2,"quantile"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.3,5,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.3,5,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.3,4,"quantile"
"4 wk ahead inc flu hosp","02",2022-04-18,2022-05-14,0.3,4,"quantile"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.35,6,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.35,6,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.35,6,"quantile"
"4 wk ahead inc flu hosp","02",2022-04-18,2022-05-14,0.35,6,"quantile"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.4,7,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.4,8,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.4,9,"quantile"
"4 wk ahead inc flu hosp","02",2022-04-18,2022-05-14,0.4,9,"quantile"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.45,9,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.45,10,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.45,12,"quantile"
"4 wk ahead inc flu hosp","02",2022-04-18,2022-05-14,0.45,13,"quantile"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.5,10,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.5,12,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.5,15,"quantile"
"4 wk ahead inc flu hosp","02",2022-04-18,2022-05-14,0.5,18,"quantile"
"1 wk ahead inc flu hosp","02",2022-04-18,2022-04-23,0.55,12,"quantile"
"2 wk ahead inc flu hosp","02",2022-04-18,2022-04-30,0.55,15,"quantile"
"3 wk ahead inc flu hosp","02",2022-04-18,2022-05-07,0.55,19,"quantile"
