target,location,forecast_date,target_end_date,quantile,value,type
1 wk ahead inc flu hosp,02,2022-05-23,2022-05-28,0.010,8,quantile
2 wk ahead inc flu hosp,02,2022-05-23,2022-06-04,0.010,10,quantile
3 wk ahead inc flu hosp,02,2022-05-23,2022-06-11,0.010,13,quantile
4 wk ahead inc flu hosp,02,2022-05-23,2022-06-18,0.010,13,quantile
1 wk ahead inc flu hosp,02,2022-05-23,2022-05-28,0.025,10,quantile
2 wk ahead inc flu hosp,02,2022-05-23,2022-06-04,0.025,13,quantile
3 wk ahead inc flu hosp,02,2022-05-23,2022-06-11,0.025,17,quantile
4 wk ahead inc flu hosp,02,2022-05-23,2022-06-18,0.025,20,quantile
1 wk ahead inc flu hosp,02,2022-05-23,2022-05-28,0.050,12,quantile
2 wk ahead inc flu hosp,02,2022-05-23,2022-06-04,0.050,16,quantile
3 wk ahead inc flu hosp,02,2022-05-23,2022-06-11,0.050,22,quantile
4 wk ahead inc flu hosp,02,2022-05-23,2022-06-18,0.050,27,quantile
1 wk ahead inc flu hosp,02,2022-05-23,2022-05-28,0.100,15,quantile
2 wk ahead inc flu hosp,02,2022-05-23,2022-06-04,0.100,20,quantile
3 wk ahead inc flu hosp,02,2022-05-23,2022-06-11,0.100,28,quantile
4 wk ahead inc flu hosp,02,2022-05-23,2022-06-18,0.100,36,quantile
1 wk ahead inc flu hosp,02,2022-05-23,2022-05-28,0.150,18,quantile
2 wk ahead inc flu hosp,02,2022-05-23,2022-06-04,0.150,24,quantile
3 wk ahead inc flu hosp,02,2022-05-23,2022-06-11,0.150,33,quantile
4 wk ahead inc flu hosp,02,2022-05-23,2022-06-18,0.150,43,quantile
1 wk ahead inc flu hosp,02,2022-05-23,2022-05-28,0.200,20,quantile
2 wk ahead inc flu hosp,02,2022-05-23,2022-06-04,0.200,27,quantile
3 wk ahead inc flu hosp,02,2022-05-23,2022-06-11,0.200,37,quantile
4 wk ahead inc flu hosp,02,2022-05-23,2022-06-18,0.200,49,quantile
1 wk ahead inc flu hosp,02,2022-05-23,2022-05-28,0.250,21,quantile
2 wk ahead inc flu hosp,02,2022-05-23,2022-06-04,0.250,29,quantile
3 wk ahead inc flu hosp,02,2022-05-23,2022-06-11,0.250,41,quantile
4 wk ahead inc flu hosp,02,2022-05-23,2022-06-18,0.250,55,quantile
1 wk ahead inc flu hosp,02,2022-05-23,2022-05-28,0.300,23,quantile
2 wk ahead inc flu hosp,02,2022-05-23,2022-06-04,0.300,31,quantile
3 wk ahead inc flu hosp,02,2022-05-23,2022-06-11,0.300,44,quantile
4 wk ahead inc flu hosp,02,2022-05-23,2022-06-18,0.300,60,quantile
1 wk ahead inc flu hosp,02,2022-05-23,2022-05-28,0.350,24,quantile
2 wk ahead inc flu hosp,02,2022-05-23,2022-06-04,0.350,33,quantile
3 wk ahead inc flu hosp,02,2022-05-23,2022-06-11,0.350,48,quantile
4 wk ahead inc flu hosp,02,2022-05-23,2022-06-18,0.350,66,quantile
1 wk ahead inc flu hosp,02,2022-05-23,2022-05-28,0.400,26,quantile
2 wk ahead inc flu hosp,02,2022-05-23,2022-06-04,0.400,36,quantile
3 wk ahead inc flu hosp,02,2022-05-23,2022-06-11,0.400,52,quantile
4 wk ahead inc flu hosp,02,2022-05-23,2022-06-18,0.400,72,quantile
