target,location,forecast_date,target_end_date,quantile,value,type
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.01,0.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.01,0,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.01,0,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.01,0,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.025,0.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.025,0,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.025,0,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.025,0,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.05,0.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.05,0,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.05,0,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.05,0,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.1,0.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.1,0,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.1,0,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.1,0,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.15,0.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.15,0,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.15,0,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.15,0,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.2,1.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.2,0,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.2,0,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.2,0,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.25,1.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.25,0,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.25,0,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.25,0,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.3,1.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.3,1,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.3,0,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.3,0,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.35,1.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.35,1,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.35,0,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.35,0,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.4,2.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.4,1,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.4,0,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.4,0,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.45,2.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.45,1,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.45,1,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.45,0,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.5,2.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.5,2,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.5,1,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.5,1,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.55,3.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.55,2,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.55,1,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.55,1,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.6,3.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.6,3,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.6,2,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.6,1,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.65,3.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.65,3,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.65,2,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.65,2,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.7,4.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.7,4,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.7,3,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.7,2,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.75,5.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.75,4,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.75,3,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.75,3,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.8,5.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.8,5,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.8,5,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.8,4,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.85,6.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.85,6,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.85,6,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.85,5,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.9,7.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.9,8,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.9,8,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.9,8,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.95,9.584,quantile
2 wk ahead inc flu hosp,02,2022-01-10,2022-01-22,0.95,12,quantile
3 wk ahead inc flu hosp,02,2022-01-10,2022-01-29,0.95,13,quantile
4 wk ahead inc flu hosp,02,2022-01-10,2022-02-05,0.95,14,quantile
1 wk ahead inc flu hosp,02,2022-01-10,2022-01-15,0.975,12.584,quantile
