target,location,forecast_date,target_end_date,quantile,value,type
1 wk ahead inc flu hosp,02,2022-05-16,2022-05-21,0.010,0,quantile
2 wk ahead inc flu hosp,02,2022-05-16,2022-05-28,0.010,0,quantile
3 wk ahead inc flu hosp,02,2022-05-16,2022-06-04,0.010,0,quantile
4 wk ahead inc flu hosp,02,2022-05-16,2022-06-11,0.010,0,quantile
1 wk ahead inc flu hosp,02,2022-05-16,2022-05-21,0.025,0,quantile
2 wk ahead inc flu hosp,02,2022-05-16,2022-05-28,0.025,0,quantile
3 wk ahead inc flu hosp,02,2022-05-16,2022-06-04,0.025,0,quantile
4 wk ahead inc flu hosp,02,2022-05-16,2022-06-11,0.025,0,quantile
1 wk ahead inc flu hosp,02,2022-05-16,2022-05-21,0.050,0,quantile
2 wk ahead inc flu hosp,02,2022-05-16,2022-05-28,0.050,0,quantile
3 wk ahead inc flu hosp,02,2022-05-16,2022-06-04,0.050,0,quantile
4 wk ahead inc flu hosp,02,2022-05-16,2022-06-11,0.050,0,quantile
1 wk ahead inc flu hosp,02,2022-05-16,2022-05-21,0.100,1,quantile
2 wk ahead inc flu hosp,02,2022-05-16,2022-05-28,0.100,1,quantile
3 wk ahead inc flu hosp,02,2022-05-16,2022-06-04,0.100,0,quantile
4 wk ahead inc flu hosp,02,2022-05-16,2022-06-11,0.100,0,quantile
1 wk ahead inc flu hosp,02,2022-05-16,2022-05-21,0.150,1,quantile
2 wk ahead inc flu hosp,02,2022-05-16,2022-05-28,0.150,1,quantile
3 wk ahead inc flu hosp,02,2022-05-16,2022-06-04,0.150,1,quantile
4 wk ahead inc flu hosp,02,2022-05-16,2022-06-11,0.150,1,quantile
1 wk ahead inc flu hosp,02,2022-05-16,2022-05-21,0.200,2,quantile
2 wk ahead inc flu hosp,02,2022-05-16,2022-05-28,0.200,2,quantile
3 wk ahead inc flu hosp,02,2022-05-16,2022-06-04,0.200,2,quantile
4 wk ahead inc flu hosp,02,2022-05-16,2022-06-11,0.200,1,quantile
1 wk ahead inc flu hosp,02,2022-05-16,2022-05-21,0.250,2,quantile
2 wk ahead inc flu hosp,02,2022-05-16,2022-05-28,0.250,3,quantile
3 wk ahead inc flu hosp,02,2022-05-16,2022-06-04,0.250,2,quantile
4 wk ahead inc flu hosp,02,2022-05-16,2022-06-11,0.250,2,quantile
1 wk ahead inc flu hosp,02,2022-05-16,2022-05-21,0.300,3,quantile
2 wk ahead inc flu hosp,02,2022-05-16,2022-05-28,0.300,3,quantile
3 wk ahead inc flu hosp,02,2022-05-16,2022-06-04,0.300,3,quantile
4 wk ahead inc flu hosp,02,2022-05-16,2022-06-11,0.300,2,quantile
1 wk ahead inc flu hosp,02,2022-05-16,2022-05-21,0.350,3,quantile
2 wk ahead inc flu hosp,02,2022-05-16,2022-05-28,0.350,4,quantile
3 wk ahead inc flu hosp,02,2022-05-16,2022-06-04,0.350,3,quantile
4 wk ahead inc flu hosp,02,2022-05-16,2022-06-11,0.350,3,quantile
1 wk ahead inc flu hosp,02,2022-05-16,2022-05-21,0.400,4,quantile
2 wk ahead inc flu hosp,02,2022-05-16,2022-05-28,0.400,4,quantile
3 wk ahead inc flu hosp,02,2022-05-16,2022-06-04,0.400,4,quantile
4 wk ahead inc flu hosp,02,2022-05-16,2022-06-11,0.400,4,quantile
1 wk ahead inc flu hosp,02,2022-05-16,2022-05-21,0.450,4,quantile
2 wk ahead inc flu hosp,02,2022-05-16,2022-05-28,0.450,5,quantile
3 wk ahead inc flu hosp,02,2022-05-16,2022-06-04,0.450,5,quantile
4 wk ahead inc flu hosp,02,2022-05-16,2022-06-11,0.450,5,quantile
1 wk ahead inc flu hosp,02,2022-05-16,2022-05-21,0.500,5,quantile
2 wk ahead inc flu hosp,02,2022-05-16,2022-05-28,0.500,6,quantile
3 wk ahead inc flu hosp,02,2022-05-16,2022-06-04,0.500,6,quantile
