forecast_date,target,target_end_date,quantile,value,location,type
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.01,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.01,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.01,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.01,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.025,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.025,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.025,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.025,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.05,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.05,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.05,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.05,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.1,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.1,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.1,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.1,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.15,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.15,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.15,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.15,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.2,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.2,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.2,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.2,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.25,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.25,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.25,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.25,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.3,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.3,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.3,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.3,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.35,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.35,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.35,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.35,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.4,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.4,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.4,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.4,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.45,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.45,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.45,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.45,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.5,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.5,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.5,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.5,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.55,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.55,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.55,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.55,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.6,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.6,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.6,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.6,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.65,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.65,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.65,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.65,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.7,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.7,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.7,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.7,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.75,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.75,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.75,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.75,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.8,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.8,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.8,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.8,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.85,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.85,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.85,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.85,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.9,0.0,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.9,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.9,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.9,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.95,0.1336664439684978,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.95,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.95,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.95,0.0,02,quantile
2022-01-31,1 wk ahead inc flu hosp,2022-02-05,0.975,0.7238186994107151,02,quantile
2022-01-31,2 wk ahead inc flu hosp,2022-02-12,0.975,0.0,02,quantile
2022-01-31,3 wk ahead inc flu hosp,2022-02-19,0.975,0.0,02,quantile
2022-01-31,4 wk ahead inc flu hosp,2022-02-26,0.975,0.0,02,quantile
