"target_end_date","value","type","quantile","forecast_date","target","location"
2022-06-18,12,"quantile","0.010",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,16,"quantile","0.025",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,20,"quantile","0.050",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,25,"quantile","0.100",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,29,"quantile","0.150",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,32,"quantile","0.200",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,36,"quantile","0.250",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,39,"quantile","0.300",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,41,"quantile","0.350",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,44,"quantile","0.400",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,47,"quantile","0.450",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,50,"quantile","0.500",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,53,"quantile","0.550",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,54,"point",NA,2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,57,"quantile","0.600",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,60,"quantile","0.650",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,64,"quantile","0.700",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,69,"quantile","0.750",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,74,"quantile","0.800",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,80,"quantile","0.850",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,89,"quantile","0.900",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,102,"quantile","0.950",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,115,"quantile","0.975",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-18,131,"quantile","0.990",2022-06-13,"1 wk ahead inc flu hosp","25"
2022-06-25,5,"quantile","0.010",2022-06-13,"2 wk ahead inc flu hosp","25"
2022-06-25,8,"quantile","0.025",2022-06-13,"2 wk ahead inc flu hosp","25"
2022-06-25,12,"quantile","0.050",2022-06-13,"2 wk ahead inc flu hosp","25"
2022-06-25,18,"quantile","0.100",2022-06-13,"2 wk ahead inc flu hosp","25"
