"target_end_date","value","type","quantile","forecast_date","target","location"
2022-06-11,12,"quantile","0.010",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,16,"quantile","0.025",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,20,"quantile","0.050",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,26,"quantile","0.100",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,30,"quantile","0.150",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,33,"quantile","0.200",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,36,"quantile","0.250",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,39,"quantile","0.300",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,42,"quantile","0.350",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,45,"quantile","0.400",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,48,"quantile","0.450",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,51,"quantile","0.500",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,55,"quantile","0.550",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,55,"point",NA,2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,58,"quantile","0.600",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,61,"quantile","0.650",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,65,"quantile","0.700",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,70,"quantile","0.750",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,75,"quantile","0.800",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,82,"quantile","0.850",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,90,"quantile","0.900",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,104,"quantile","0.950",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,117,"quantile","0.975",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-11,133,"quantile","0.990",2022-06-06,"1 wk ahead inc flu hosp","25"
2022-06-18,5,"quantile","0.010",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,8,"quantile","0.025",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,12,"quantile","0.050",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,18,"quantile","0.100",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,23,"quantile","0.150",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,27,"quantile","0.200",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,31,"quantile","0.250",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,35,"quantile","0.300",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,39,"quantile","0.350",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,43,"quantile","0.400",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,47,"quantile","0.450",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,51,"quantile","0.500",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,56,"quantile","0.550",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,59,"point",NA,2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,61,"quantile","0.600",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,66,"quantile","0.650",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,72,"quantile","0.700",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,79,"quantile","0.750",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,87,"quantile","0.800",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,97,"quantile","0.850",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,110,"quantile","0.900",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,133,"quantile","0.950",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,155,"quantile","0.975",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-18,183,"quantile","0.990",2022-06-06,"2 wk ahead inc flu hosp","25"
2022-06-25,2,"quantile","0.010",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,4,"quantile","0.025",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,8,"quantile","0.050",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,13,"quantile","0.100",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,18,"quantile","0.150",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,23,"quantile","0.200",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,27,"quantile","0.250",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,32,"quantile","0.300",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,36,"quantile","0.350",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,41,"quantile","0.400",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,46,"quantile","0.450",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,51,"quantile","0.500",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,57,"quantile","0.550",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,63,"quantile","0.600",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,63,"point",NA,2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,69,"quantile","0.650",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,77,"quantile","0.700",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,86,"quantile","0.750",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,96,"quantile","0.800",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,109,"quantile","0.850",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,128,"quantile","0.900",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,158,"quantile","0.950",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,189,"quantile","0.975",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-06-25,228,"quantile","0.990",2022-06-06,"3 wk ahead inc flu hosp","25"
2022-07-02,0,"quantile","0.010",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,2,"quantile","0.025",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,5,"quantile","0.050",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,10,"quantile","0.100",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,15,"quantile","0.150",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,20,"quantile","0.200",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,24,"quantile","0.250",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,29,"quantile","0.300",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,34,"quantile","0.350",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,39,"quantile","0.400",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,45,"quantile","0.450",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,51,"quantile","0.500",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,57,"quantile","0.550",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,64,"quantile","0.600",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,67,"point",NA,2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,72,"quantile","0.650",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,81,"quantile","0.700",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,92,"quantile","0.750",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,105,"quantile","0.800",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,121,"quantile","0.850",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,143,"quantile","0.900",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,182,"quantile","0.950",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,221,"quantile","0.975",2022-06-06,"4 wk ahead inc flu hosp","25"
2022-07-02,272,"quantile","0.990",2022-06-06,"4 wk ahead inc flu hosp","25"
