"target_end_date","value","type","quantile","forecast_date","target","location"
2022-05-07,90,"quantile","0.010",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,104,"quantile","0.025",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,117,"quantile","0.050",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,133,"quantile","0.100",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,145,"quantile","0.150",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,155,"quantile","0.200",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,164,"quantile","0.250",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,172,"quantile","0.300",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,180,"quantile","0.350",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,188,"quantile","0.400",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,195,"quantile","0.450",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,203,"quantile","0.500",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,209,"point",NA,2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,211,"quantile","0.550",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,219,"quantile","0.600",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,228,"quantile","0.650",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,237,"quantile","0.700",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,248,"quantile","0.750",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,260,"quantile","0.800",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,274,"quantile","0.850",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,293,"quantile","0.900",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,323,"quantile","0.950",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,350,"quantile","0.975",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-07,383,"quantile","0.990",2022-05-20,"1 wk ahead inc flu hosp","25"
2022-05-14,60,"quantile","0.010",2022-05-20,"2 wk ahead inc flu hosp","25"
