"target_end_date","value","type","quantile","forecast_date","target","location"
2022-06-25,1,"quantile","0.010",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,1,"quantile","0.025",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,2,"quantile","0.050",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,4,"quantile","0.100",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,5,"quantile","0.150",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,6,"quantile","0.200",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,7,"quantile","0.250",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,9,"quantile","0.300",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,10,"quantile","0.350",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,11,"quantile","0.400",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,12,"quantile","0.450",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,13,"quantile","0.500",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,15,"quantile","0.550",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,16,"point",NA,2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,16,"quantile","0.600",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,18,"quantile","0.650",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,20,"quantile","0.700",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,22,"quantile","0.750",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,24,"quantile","0.800",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,27,"quantile","0.850",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,31,"quantile","0.900",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,38,"quantile","0.950",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,45,"quantile","0.975",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-06-25,54,"quantile","0.990",2022-06-20,"1 wk ahead inc flu hosp","25"
2022-07-02,0,"quantile","0.010",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,0,"quantile","0.025",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,1,"quantile","0.050",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,2,"quantile","0.100",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,3,"quantile","0.150",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,4,"quantile","0.200",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,6,"quantile","0.250",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,7,"quantile","0.300",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,8,"quantile","0.350",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,10,"quantile","0.400",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,11,"quantile","0.450",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,13,"quantile","0.500",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,15,"quantile","0.550",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,17,"quantile","0.600",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,18,"point",NA,2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,20,"quantile","0.650",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,22,"quantile","0.700",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,26,"quantile","0.750",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,29,"quantile","0.800",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,34,"quantile","0.850",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,41,"quantile","0.900",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,54,"quantile","0.950",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,66,"quantile","0.975",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-02,82,"quantile","0.990",2022-06-20,"2 wk ahead inc flu hosp","25"
2022-07-09,0,"quantile","0.010",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,0,"quantile","0.025",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,0,"quantile","0.050",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,1,"quantile","0.100",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,2,"quantile","0.150",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,3,"quantile","0.200",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,4,"quantile","0.250",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,6,"quantile","0.300",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,7,"quantile","0.350",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,9,"quantile","0.400",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,11,"quantile","0.450",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,13,"quantile","0.500",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,15,"quantile","0.550",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,18,"quantile","0.600",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,21,"point",NA,2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,21,"quantile","0.650",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,25,"quantile","0.700",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,29,"quantile","0.750",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,34,"quantile","0.800",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,41,"quantile","0.850",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,51,"quantile","0.900",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,68,"quantile","0.950",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,85,"quantile","0.975",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-09,109,"quantile","0.990",2022-06-20,"3 wk ahead inc flu hosp","25"
2022-07-16,0,"quantile","0.010",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,0,"quantile","0.025",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,0,"quantile","0.050",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,0,"quantile","0.100",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,1,"quantile","0.150",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,2,"quantile","0.200",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,3,"quantile","0.250",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,5,"quantile","0.300",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,7,"quantile","0.350",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,8,"quantile","0.400",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,11,"quantile","0.450",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,13,"quantile","0.500",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,16,"quantile","0.550",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,19,"quantile","0.600",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,22,"quantile","0.650",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,23,"point",NA,2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,27,"quantile","0.700",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,32,"quantile","0.750",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,38,"quantile","0.800",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,47,"quantile","0.850",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,59,"quantile","0.900",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,81,"quantile","0.950",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,104,"quantile","0.975",2022-06-20,"4 wk ahead inc flu hosp","25"
2022-07-16,136,"quantile","0.990",2022-06-20,"4 wk ahead inc flu hosp","25"
