"target_end_date","value","type","quantile","forecast_date","target","location"
2022-05-21,75,"quantile","0.010",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,88,"quantile","0.025",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,99,"quantile","0.050",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,114,"quantile","0.100",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,125,"quantile","0.150",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,133,"quantile","0.200",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,141,"quantile","0.250",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,149,"quantile","0.300",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,156,"quantile","0.350",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,163,"quantile","0.400",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,170,"quantile","0.450",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,177,"quantile","0.500",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,183,"point",NA,2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,184,"quantile","0.550",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,191,"quantile","0.600",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,199,"quantile","0.650",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,208,"quantile","0.700",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,217,"quantile","0.750",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,228,"quantile","0.800",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,242,"quantile","0.850",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,259,"quantile","0.900",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,286,"quantile","0.950",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,311,"quantile","0.975",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-21,342,"quantile","0.990",2022-05-16,"1 wk ahead inc flu hosp","25"
2022-05-28,49,"quantile","0.010",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,62,"quantile","0.025",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,76,"quantile","0.050",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,93,"quantile","0.100",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,107,"quantile","0.150",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,118,"quantile","0.200",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,129,"quantile","0.250",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,138,"quantile","0.300",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,148,"quantile","0.350",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,158,"quantile","0.400",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,167,"quantile","0.450",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,177,"quantile","0.500",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,187,"quantile","0.550",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,189,"point",NA,2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,198,"quantile","0.600",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,209,"quantile","0.650",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,222,"quantile","0.700",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,236,"quantile","0.750",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,253,"quantile","0.800",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,273,"quantile","0.850",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,300,"quantile","0.900",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,343,"quantile","0.950",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,383,"quantile","0.975",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-05-28,434,"quantile","0.990",2022-05-16,"2 wk ahead inc flu hosp","25"
2022-06-04,33,"quantile","0.010",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,46,"quantile","0.025",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,60,"quantile","0.050",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,79,"quantile","0.100",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,94,"quantile","0.150",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,107,"quantile","0.200",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,119,"quantile","0.250",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,131,"quantile","0.300",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,142,"quantile","0.350",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,154,"quantile","0.400",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,165,"quantile","0.450",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,177,"quantile","0.500",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,190,"quantile","0.550",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,195,"point",NA,2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,203,"quantile","0.600",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,218,"quantile","0.650",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,234,"quantile","0.700",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,252,"quantile","0.750",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,273,"quantile","0.800",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,299,"quantile","0.850",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,334,"quantile","0.900",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,391,"quantile","0.950",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,445,"quantile","0.975",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-04,515,"quantile","0.990",2022-05-16,"3 wk ahead inc flu hosp","25"
2022-06-11,23,"quantile","0.010",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,35,"quantile","0.025",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,49,"quantile","0.050",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,69,"quantile","0.100",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,84,"quantile","0.150",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,98,"quantile","0.200",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,112,"quantile","0.250",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,125,"quantile","0.300",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,137,"quantile","0.350",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,150,"quantile","0.400",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,164,"quantile","0.450",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,178,"quantile","0.500",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,192,"quantile","0.550",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,201,"point",NA,2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,208,"quantile","0.600",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,225,"quantile","0.650",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,243,"quantile","0.700",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,265,"quantile","0.750",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,290,"quantile","0.800",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,322,"quantile","0.850",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,365,"quantile","0.900",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,435,"quantile","0.950",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,503,"quantile","0.975",2022-05-16,"4 wk ahead inc flu hosp","25"
2022-06-11,590,"quantile","0.990",2022-05-16,"4 wk ahead inc flu hosp","25"
