"target_end_date","value","type","quantile","forecast_date","target","location"
2022-06-04,24,"quantile","0.010",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,30,"quantile","0.025",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,36,"quantile","0.050",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,44,"quantile","0.100",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,50,"quantile","0.150",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,55,"quantile","0.200",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,59,"quantile","0.250",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,63,"quantile","0.300",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,67,"quantile","0.350",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,71,"quantile","0.400",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,75,"quantile","0.450",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,79,"quantile","0.500",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,84,"quantile","0.550",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,84,"point",NA,2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,88,"quantile","0.600",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,93,"quantile","0.650",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,98,"quantile","0.700",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,104,"quantile","0.750",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,111,"quantile","0.800",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,119,"quantile","0.850",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,130,"quantile","0.900",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,147,"quantile","0.950",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,163,"quantile","0.975",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-04,184,"quantile","0.990",2022-05-30,"1 wk ahead inc flu hosp","25"
2022-06-11,12,"quantile","0.010",2022-05-30,"2 wk ahead inc flu hosp","25"
2022-06-11,18,"quantile","0.025",2022-05-30,"2 wk ahead inc flu hosp","25"
