"","forecast_date","target","target_end_date","location","type","quantile","value"
"1","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","point",NA,82.8003710476069
"2","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.01,6.65398063261024
"3","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.025,17.3108934126866
"4","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.05,29.3754537092613
"5","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.1,40.4181256020121
"6","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.15,48.0376909001643
"7","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.2,54.3836523899405
"8","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.25,59.5544138586592
"9","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.3,64.6788700907856
"10","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.35,68.7987289892163
"11","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.4,73.502679830988
"12","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.45,77.1383319728294
"13","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.5,81.7083635727299
"14","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.55,86.4477672472167
"15","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.6,91.2727865530338
"16","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.65,95.4889146973298
"17","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.7,100.020004636552
"18","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.75,105.105709286087
"19","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.8,110.7243583134
"20","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.85,119.033970459448
"21","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.9,127.046794152095
"22","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.95,140.257912140806
"23","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.975,150.08823793549
"24","2023-02-13","1 wk ahead inc flu hosp","2023-02-18","01","quantile",0.99,163.487686901816
"25","2023-02-13","2 wk ahead inc flu hosp","2023-02-25","01","point",NA,97.4526059218614
"26","2023-02-13","2 wk ahead inc flu hosp","2023-02-25","01","quantile",0.01,20.7437961068656
"27","2023-02-13","2 wk ahead inc flu hosp","2023-02-25","01","quantile",0.025,32.7553527845013
"28","2023-02-13","2 wk ahead inc flu hosp","2023-02-25","01","quantile",0.05,43.0057504115504
"29","2023-02-13","2 wk ahead inc flu hosp","2023-02-25","01","quantile",0.1,56.5165197090391
