,forecast_date,target_end_date,location,target,quantile,value,type
0,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.01,24.312195841662625,quantile
1,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.025,25.916107828134937,quantile
2,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.05,27.271697925183062,quantile
3,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.1,28.8400312156453,quantile
4,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.15,29.93923476897163,quantile
5,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.2,30.801990775703235,quantile
6,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.25,31.54925137963814,quantile
7,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.3,32.17539244676304,quantile
8,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.35,32.752385151645164,quantile
9,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.4,33.2909017113127,quantile
10,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.45,33.81809374371337,quantile
11,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.5,34.4026366647458,quantile
12,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.55,34.95734669625035,quantile
13,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.6,35.44861917698761,quantile
14,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.65,36.00916575347608,quantile
15,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.7,36.61068299365345,quantile
16,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.75,37.266379428240576,quantile
17,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.8,38.04090912611205,quantile
18,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.85,38.842920577694834,quantile
19,2022-01-10,2022-01-15,09,1 wk ahead inc flu hosp,0.9,40.07856165722185,quantile
