forecast_date,target,location,type,type_id,value
2023-01-02,2 wk flu hosp rate change,US,category,large_decrease,0.11263575
2023-01-02,2 wk flu hosp rate change,US,category,decrease,0.248624777
2023-01-02,2 wk flu hosp rate change,US,category,stable,0.499636059
2023-01-02,2 wk flu hosp rate change,US,category,increase,0.094737191
2023-01-02,2 wk flu hosp rate change,US,category,large_increase,0.044366223
2023-01-02,2 wk flu hosp rate change,1,category,large_decrease,0
2023-01-02,2 wk flu hosp rate change,1,category,decrease,0.220107686
2023-01-02,2 wk flu hosp rate change,1,category,stable,0.709288205
2023-01-02,2 wk flu hosp rate change,1,category,increase,0.070604109
2023-01-02,2 wk flu hosp rate change,1,category,large_increase,0
2023-01-02,2 wk flu hosp rate change,2,category,large_decrease,0.013017587
2023-01-02,2 wk flu hosp rate change,2,category,decrease,0.311440245
2023-01-02,2 wk flu hosp rate change,2,category,stable,0.660226517
2023-01-02,2 wk flu hosp rate change,2,category,increase,0.015315652
2023-01-02,2 wk flu hosp rate change,2,category,large_increase,0
2023-01-02,2 wk flu hosp rate change,4,category,large_decrease,0.230551828
2023-01-02,2 wk flu hosp rate change,4,category,decrease,0.164307179
2023-01-02,2 wk flu hosp rate change,4,category,stable,0.323765589
2023-01-02,2 wk flu hosp rate change,4,category,increase,0.113030719
2023-01-02,2 wk flu hosp rate change,4,category,large_increase,0.168344684
2023-01-02,2 wk flu hosp rate change,5,category,large_decrease,0.276115359
2023-01-02,2 wk flu hosp rate change,5,category,decrease,0.221925061
2023-01-02,2 wk flu hosp rate change,5,category,stable,0.347611945
2023-01-02,2 wk flu hosp rate change,5,category,increase,0.08042868
2023-01-02,2 wk flu hosp rate change,5,category,large_increase,0.073918955
2023-01-02,2 wk flu hosp rate change,6,category,large_decrease,0
2023-01-02,2 wk flu hosp rate change,6,category,decrease,0.134621738
2023-01-02,2 wk flu hosp rate change,6,category,stable,0.615968709
2023-01-02,2 wk flu hosp rate change,6,category,increase,0.163615488
2023-01-02,2 wk flu hosp rate change,6,category,large_increase,0.085794065
2023-01-02,2 wk flu hosp rate change,8,category,large_decrease,0.129296569
2023-01-02,2 wk flu hosp rate change,8,category,decrease,0.164710372
