forecast_date,target,location,type,type_id,value,target_end_date,quantile
2022-12-12,2 wk flu hosp rate change,01,category,large_decrease,0.3437265040755092,2022-12-24,
2022-12-12,2 wk flu hosp rate change,01,category,decrease,0.3944050973839431,2022-12-24,
2022-12-12,2 wk flu hosp rate change,01,category,stable,0.2469760484141641,2022-12-24,
2022-12-12,2 wk flu hosp rate change,01,category,increase,0.0148923501263835,2022-12-24,
2022-12-12,2 wk flu hosp rate change,01,category,large_increase,0.0,2022-12-24,
2022-12-12,2 wk flu hosp rate change,02,category,large_decrease,0.0,2022-12-24,
2022-12-12,2 wk flu hosp rate change,02,category,decrease,0.1923316717172589,2022-12-24,
2022-12-12,2 wk flu hosp rate change,02,category,stable,0.7966072821071819,2022-12-24,
2022-12-12,2 wk flu hosp rate change,02,category,increase,0.0110610461755591,2022-12-24,
2022-12-12,2 wk flu hosp rate change,02,category,large_increase,0.0,2022-12-24,
2022-12-12,2 wk flu hosp rate change,04,category,large_decrease,0.0767789749367995,2022-12-24,
2022-12-12,2 wk flu hosp rate change,04,category,decrease,0.0886707074692816,2022-12-24,
2022-12-12,2 wk flu hosp rate change,04,category,stable,0.2431292599420355,2022-12-24,
2022-12-12,2 wk flu hosp rate change,04,category,increase,0.1316322750917006,2022-12-24,
2022-12-12,2 wk flu hosp rate change,04,category,large_increase,0.4597887825601827,2022-12-24,
2022-12-12,2 wk flu hosp rate change,05,category,large_decrease,0.6871767776405562,2022-12-24,
2022-12-12,2 wk flu hosp rate change,05,category,decrease,0.1742920704924642,2022-12-24,
2022-12-12,2 wk flu hosp rate change,05,category,stable,0.1099697301047184,2022-12-24,
2022-12-12,2 wk flu hosp rate change,05,category,increase,0.0285614217622611,2022-12-24,
2022-12-12,2 wk flu hosp rate change,05,category,large_increase,0.0,2022-12-24,
2022-12-12,2 wk flu hosp rate change,06,category,large_decrease,0.1196061260848996,2022-12-24,
2022-12-12,2 wk flu hosp rate change,06,category,decrease,0.2447371548443851,2022-12-24,
2022-12-12,2 wk flu hosp rate change,06,category,stable,0.4842794721926112,2022-12-24,
2022-12-12,2 wk flu hosp rate change,06,category,increase,0.0991568622057681,2022-12-24,
2022-12-12,2 wk flu hosp rate change,06,category,large_increase,0.0522203846723358,2022-12-24,
2022-12-12,2 wk flu hosp rate change,08,category,large_decrease,0.0767358760475901,2022-12-24,
2022-12-12,2 wk flu hosp rate change,08,category,decrease,0.0821318074777806,2022-12-24,
2022-12-12,2 wk flu hosp rate change,08,category,stable,0.1996195313994931,2022-12-24,
2022-12-12,2 wk flu hosp rate change,08,category,increase,0.1010503418316985,2022-12-24,
