"value","quantile","type","forecast_date","target","target_end_date","location"
126.1575,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
126.675,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
127.575,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
128.7125,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
130.0625,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
132.65,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
138.05,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
142.55,0.3,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
143,0.35,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
143.025,0.4,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
143.33125,0.45,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
143.5,0.5,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
143.66875,0.55,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
143.975,0.6,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
144,0.65,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
144.1125,0.7,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
145.2375,0.75,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
146.5875,0.8,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
147,0.85,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
147,0.9,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
148.9125,0.95,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
152.9625,0.975,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
155.29125,0.99,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
143,NA,"point",2022-01-24,"1 week ahead","2022-01-30","US"
90.86625,0.01,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
93.7125,0.025,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
98.6625,0.05,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
104.5625,0.1,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
111.3125,0.15,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
116.1375,0.2,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
116.5875,0.25,"quantile",2022-01-24,"1 week ahead","2022-01-30","US"
