"","forecast_date","target","target_end_date","location","type","quantile","value"
"1",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.01,2171.72599489059
"2",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.01,2748.09606046299
"3",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.01,3457.32453416337
"4",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.01,4333.02252372777
"11",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.99,4141.66912968222
"21",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.99,5791.29553740052
"31",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.99,8145.06766464024
"41",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.99,11499.2920761694
"12",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.025,2391.87513531254
"22",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.025,3072.22143549487
"32",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.025,3930.0790289556
"42",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.025,5014.04700220409
"111",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.975,3760.46825286784
"211",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.975,5180.30252228342
"311",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.975,7165.28651508182
"411",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.975,9937.42012212157
"13",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.05,2537.08368005603
"23",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.05,3288.58114170454
"33",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.05,4249.88292667914
"43",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.05,5481.33505896941
"112",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.95,3545.23998631694
"212",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.95,4839.48419258349
"312",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.95,6626.09835499298
"412",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.95,9090.24736435918
"14",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.1,2669.48884264188
"24",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.1,3487.54426552965
"34",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.1,4546.76932756145
"44",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.1,5919.54474657687
"113",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.9,3369.3980538481
"213",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.9,4563.39339076182
"313",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.9,6193.43983401165
"413",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.9,8417.31817329024
"15",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.15,2744.13705129914
"25",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.15,3600.3968326288
"35",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.15,4716.30319013418
"45",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.15,6171.58719675632
"114",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.85,3277.74099581088
"214",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.85,4420.35619714925
"314",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.85,5970.80830772041
"414",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.85,8073.56195164095
"16",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.2,2797.57556074426
"26",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.2,3681.4777043296
"36",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.2,4838.60070088773
"46",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.2,6354.19053003247
"115",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.8,3215.13049991538
"215",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.8,4323.00226416973
"315",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.8,5819.89381025281
"415",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.8,7841.54824087588
"17",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.25,2840.37501213379
"27",2022-10-24,"2 week ahead inc flu hosp",2022-11-05,"US","quantile",0.25,3746.58945117348
"37",2022-10-24,"3 week ahead inc flu hosp",2022-11-12,"US","quantile",0.25,4937.10379249786
"47",2022-10-24,"4 week ahead inc flu hosp",2022-11-19,"US","quantile",0.25,6501.73417338226
"116",2022-10-24,"1 week ahead inc flu hosp",2022-10-29,"US","quantile",0.75,3166.68414302438
