target,target_end_date,quantile,value,location,type,forecast_date
1 wk ahead inc flu hosp,2022-11-26,0.010,1228.032,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.025,1256.901,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.050,1282.533,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.100,1307.925,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.150,1325.650,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.200,1338.457,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.250,1350.272,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.300,1360.325,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.350,1369.607,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.400,1379.118,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.450,1389.304,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.500,1398.223,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.550,1406.365,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.600,1414.821,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.650,1424.598,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.700,1435.692,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.750,1447.858,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.800,1460.087,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.850,1473.980,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.900,1491.252,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.950,1518.354,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.975,1539.972,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.990,1567.909,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.010,1319.793,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.025,1356.101,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.050,1385.884,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.100,1416.046,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.150,1435.864,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.200,1452.617,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.250,1466.953,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.300,1478.084,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.350,1489.579,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.400,1500.385,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.450,1510.866,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.500,1520.743,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.550,1532.312,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.600,1541.971,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.650,1552.163,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.700,1564.246,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.750,1575.062,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.800,1588.172,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.850,1605.588,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.900,1629.011,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.950,1661.923,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.975,1689.848,48,quantile,2022-11-21
2 wk ahead inc flu hosp,2022-12-03,0.990,1725.878,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.010,1401.606,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.025,1434.574,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.050,1464.473,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.100,1499.681,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.150,1518.605,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.200,1534.633,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.250,1548.583,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.300,1560.654,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.350,1571.487,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.400,1582.941,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.450,1593.794,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.500,1604.277,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.550,1615.737,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.600,1626.883,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.650,1637.113,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.700,1648.149,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.750,1659.446,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.800,1672.681,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.850,1688.702,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.900,1712.769,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.950,1744.270,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.975,1776.309,48,quantile,2022-11-21
3 wk ahead inc flu hosp,2022-12-10,0.990,1816.517,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.010,1498.372,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.025,1528.965,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.050,1562.910,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.100,1597.346,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.150,1621.206,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.200,1636.524,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.250,1653.187,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.300,1666.482,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.350,1679.831,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.400,1690.692,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.450,1701.390,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.500,1711.906,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.550,1722.630,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.600,1733.247,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.650,1744.611,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.700,1757.017,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.750,1768.263,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.800,1784.495,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.850,1802.046,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.900,1823.970,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.950,1853.106,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.975,1883.293,48,quantile,2022-11-21
4 wk ahead inc flu hosp,2022-12-17,0.990,1921.939,48,quantile,2022-11-21
1 wk ahead inc flu hosp,2022-11-26,0.010,0.479,49,quantile,2022-11-21
