forecast_date,target,target_end_date,quantile,type,location,value
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,,point,US,1719.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.01,quantile,US,390.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.025,quantile,US,525.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.05,quantile,US,659.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.1,quantile,US,837.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.15,quantile,US,979.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.2,quantile,US,1096.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.25,quantile,US,1206.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.3,quantile,US,1310.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.35,quantile,US,1410.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.4,quantile,US,1514.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.45,quantile,US,1610.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.5,quantile,US,1719.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.55,quantile,US,1821.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.6,quantile,US,1936.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.65,quantile,US,2060.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.7,quantile,US,2197.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.75,quantile,US,2343.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.8,quantile,US,2522.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.85,quantile,US,2737.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.9,quantile,US,3024.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.95,quantile,US,3478.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.975,quantile,US,3908.0
2023-02-06,1 wk ahead inc flu hosp,2023-02-11,0.99,quantile,US,4442.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,,point,US,1242.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.01,quantile,US,267.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.025,quantile,US,363.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.05,quantile,US,462.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.1,quantile,US,595.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.15,quantile,US,693.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.2,quantile,US,786.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.25,quantile,US,868.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.3,quantile,US,938.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.35,quantile,US,1015.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.4,quantile,US,1091.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.45,quantile,US,1163.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.5,quantile,US,1242.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.55,quantile,US,1321.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.6,quantile,US,1406.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.65,quantile,US,1500.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.7,quantile,US,1592.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.75,quantile,US,1712.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.8,quantile,US,1836.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.85,quantile,US,1994.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.9,quantile,US,2210.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.95,quantile,US,2546.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.975,quantile,US,2862.0
2023-02-06,2 wk ahead inc flu hosp,2023-02-18,0.99,quantile,US,3260.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,,point,US,940.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,0.01,quantile,US,193.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,0.025,quantile,US,265.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,0.05,quantile,US,339.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,0.1,quantile,US,436.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,0.15,quantile,US,521.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,0.2,quantile,US,587.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,0.25,quantile,US,649.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,0.3,quantile,US,707.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,0.35,quantile,US,768.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,0.4,quantile,US,826.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,0.45,quantile,US,882.0
2023-02-06,3 wk ahead inc flu hosp,2023-02-25,0.5,quantile,US,940.0
