forecast_date,target,target_end_date,quantile,type,location,value
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,,point,US,27297.830786532613
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.01,quantile,US,17084.273321252065
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.025,quantile,US,18049.99201733143
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.05,quantile,US,19042.74229897355
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.1,quantile,US,20375.70197354888
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.15,quantile,US,21422.962973747115
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.2,quantile,US,22359.831664313555
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.25,quantile,US,23207.12440594929
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.3,quantile,US,24021.27585675144
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.35,quantile,US,24828.119149825758
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.4,quantile,US,25629.69307245009
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.45,quantile,US,26457.631928385825
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.5,quantile,US,27297.830786532613
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.55,quantile,US,28156.599747848155
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.6,quantile,US,29058.98051600968
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.65,quantile,US,30001.288616137757
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.7,quantile,US,31001.31393703364
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.75,quantile,US,32104.12330727696
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.8,quantile,US,33382.83155631093
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.85,quantile,US,34840.70723155051
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.9,quantile,US,36645.82880160286
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.95,quantile,US,39164.38609547546
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.975,quantile,US,41222.100174099345
2022-12-12,1 wk ahead inc flu hosp,2022-12-17,0.99,quantile,US,43348.01071709169
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,,point,US,25235.24035231925
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.01,quantile,US,13737.945273743984
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.025,quantile,US,14791.328633000761
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.05,quantile,US,15934.196165823503
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.1,quantile,US,17476.988996425815
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.15,quantile,US,18675.59914255397
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.2,quantile,US,19715.674447086876
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.25,quantile,US,20676.030460536233
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.3,quantile,US,21606.498745823243
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.35,quantile,US,22506.205774219314
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.4,quantile,US,23396.98436590758
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.45,quantile,US,24306.407295790865
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.5,quantile,US,25235.24035231925
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.55,quantile,US,26189.607119459077
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.6,quantile,US,27190.91951864067
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.65,quantile,US,28274.513847953534
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.7,quantile,US,29473.39386565272
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.75,quantile,US,30801.281054372965
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.8,quantile,US,32308.735528058445
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.85,quantile,US,34091.28942712225
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.9,quantile,US,36300.49553480162
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.95,quantile,US,39638.723491617435
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.975,quantile,US,42528.03546898022
2022-12-12,2 wk ahead inc flu hosp,2022-12-24,0.99,quantile,US,45565.701838340996
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,,point,US,17984.507915932085
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.01,quantile,US,8724.855592995737
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.025,quantile,US,9523.040054228173
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.05,quantile,US,10412.203711491753
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.1,quantile,US,11670.724775471834
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.15,quantile,US,12657.393273438562
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.2,quantile,US,13504.644470727648
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.25,quantile,US,14272.239777609053
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.3,quantile,US,15015.024453934675
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.35,quantile,US,15752.440823489624
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.4,quantile,US,16488.70221101452
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.45,quantile,US,17237.650527925118
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.5,quantile,US,17984.507915932085
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.55,quantile,US,18759.1382625542
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.6,quantile,US,19588.816331860457
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.65,quantile,US,20479.592020932796
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.7,quantile,US,21451.35549836382
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.75,quantile,US,22574.29556922102
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.8,quantile,US,23874.850299931848
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.85,quantile,US,25421.21009980628
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.9,quantile,US,27346.63580614856
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.95,quantile,US,30189.16945474285
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.975,quantile,US,32789.28323263639
2022-12-12,3 wk ahead inc flu hosp,2022-12-31,0.99,quantile,US,35793.43094601349
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,,point,US,11599.851000990842
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.01,quantile,US,5128.815448253352
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.025,quantile,US,5658.456497224587
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.05,quantile,US,6247.148485300584
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.1,quantile,US,7127.440963770725
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.15,quantile,US,7826.273350917463
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.2,quantile,US,8428.098185765211
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.25,quantile,US,8980.370563506463
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.3,quantile,US,9500.663443883699
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.35,quantile,US,10009.256387270785
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.4,quantile,US,10533.209684129723
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.45,quantile,US,11062.310703946616
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.5,quantile,US,11599.851000990842
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.55,quantile,US,12157.360878323085
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.6,quantile,US,12754.002593834733
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.65,quantile,US,13395.875226940338
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.7,quantile,US,14109.229327612189
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.75,quantile,US,14905.346332917828
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.8,quantile,US,15847.278726531818
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.85,quantile,US,16978.903473198345
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.9,quantile,US,18419.53932437623
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.95,quantile,US,20551.902506074213
2022-12-12,4 wk ahead inc flu hosp,2023-01-07,0.975,quantile,US,22371.182039956693
