date,location,location_name,value
2020-01-11,01,Alabama,0
2020-01-11,15,Hawaii,0
2020-01-11,18,Indiana,0
2020-01-11,27,Minnesota,0
2020-01-11,30,Montana,0
2020-01-11,37,North Carolina,0
2020-01-11,48,Texas,0
2020-01-11,US,US,1
2020-01-18,01,Alabama,0
2020-01-18,15,Hawaii,0
2020-01-18,18,Indiana,0
2020-01-18,27,Minnesota,0
2020-01-18,30,Montana,0
2020-01-18,37,North Carolina,0
2020-01-18,48,Texas,0
2020-01-18,US,US,0
2020-01-25,01,Alabama,0
2020-01-25,15,Hawaii,0
2020-01-25,18,Indiana,0
2020-01-25,27,Minnesota,0
2020-01-25,30,Montana,0
2020-01-25,37,North Carolina,0
2020-01-25,48,Texas,0
2020-01-25,US,US,0
2020-02-01,01,Alabama,0
2020-02-01,15,Hawaii,0
2020-02-01,18,Indiana,0
2020-02-01,27,Minnesota,0
2020-02-01,30,Montana,0
2020-02-01,37,North Carolina,0
2020-02-01,32,Nevada,0
2020-02-01,48,Texas,0
2020-02-01,US,US,0
2020-02-08,01,Alabama,0
2020-02-08,15,Hawaii,0
2020-02-08,18,Indiana,0
2020-02-08,20,Kansas,0
2020-02-08,27,Minnesota,0
2020-02-08,30,Montana,0
2020-02-08,37,North Carolina,0
2020-02-08,32,Nevada,0
2020-02-08,48,Texas,0
2020-02-08,US,US,0
2020-02-15,01,Alabama,0
2020-02-15,15,Hawaii,0
2020-02-15,18,Indiana,0
2020-02-15,20,Kansas,0
2020-02-15,27,Minnesota,0
2020-02-15,30,Montana,0
2020-02-15,37,North Carolina,0
2020-02-15,32,Nevada,0
2020-02-15,48,Texas,0
2020-02-15,US,US,0
2020-02-22,01,Alabama,0
2020-02-22,15,Hawaii,0
2020-02-22,18,Indiana,0
2020-02-22,20,Kansas,0
2020-02-22,27,Minnesota,0
2020-02-22,30,Montana,0
2020-02-22,37,North Carolina,0
2020-02-22,32,Nevada,0
2020-02-22,48,Texas,0
2020-02-22,US,US,0
2020-02-29,01,Alabama,0
2020-02-29,15,Hawaii,0
2020-02-29,17,Illinois,0
2020-02-29,18,Indiana,0
2020-02-29,20,Kansas,0
2020-02-29,27,Minnesota,0
2020-02-29,29,Missouri,0
2020-02-29,30,Montana,0
2020-02-29,37,North Carolina,0
2020-02-29,32,Nevada,0
2020-02-29,41,Oregon,0
2020-02-29,48,Texas,0
2020-02-29,US,US,0
2020-03-07,01,Alabama,0
2020-03-07,04,Arizona,0
2020-03-07,06,California,0
2020-03-07,13,Georgia,0
2020-03-07,15,Hawaii,0
2020-03-07,19,Iowa,0
2020-03-07,17,Illinois,0
2020-03-07,18,Indiana,0
2020-03-07,20,Kansas,0
2020-03-07,21,Kentucky,0
2020-03-07,22,Louisiana,0
2020-03-07,24,Maryland,0
2020-03-07,23,Maine,0
2020-03-07,26,Michigan,0
2020-03-07,27,Minnesota,0
2020-03-07,29,Missouri,0
2020-03-07,28,Mississippi,0
2020-03-07,30,Montana,0
2020-03-07,37,North Carolina,0
2020-03-07,38,North Dakota,0
2020-03-07,31,Nebraska,0
2020-03-07,34,New Jersey,0
2020-03-07,32,Nevada,0
2020-03-07,39,Ohio,0
2020-03-07,40,Oklahoma,0
2020-03-07,41,Oregon,0
2020-03-07,42,Pennsylvania,0
2020-03-07,72,Puerto Rico,0
2020-03-07,45,South Carolina,0
2020-03-07,48,Texas,0
2020-03-07,US,US,0
2020-03-07,51,Virginia,0
2020-03-07,53,Washington,0
2020-03-07,55,Wisconsin,0
2020-03-07,54,West Virginia,0
2020-03-07,56,Wyoming,0
2020-03-14,01,Alabama,0
2020-03-14,04,Arizona,0
2020-03-14,06,California,0
2020-03-14,13,Georgia,0
2020-03-14,15,Hawaii,0
2020-03-14,19,Iowa,0
2020-03-14,17,Illinois,0
2020-03-14,18,Indiana,0
2020-03-14,20,Kansas,0
2020-03-14,21,Kentucky,0
2020-03-14,22,Louisiana,0
2020-03-14,24,Maryland,0
2020-03-14,23,Maine,0
2020-03-14,26,Michigan,0
2020-03-14,27,Minnesota,0
2020-03-14,29,Missouri,0
2020-03-14,28,Mississippi,0
2020-03-14,30,Montana,0
2020-03-14,37,North Carolina,0
2020-03-14,38,North Dakota,0
2020-03-14,31,Nebraska,0
2020-03-14,34,New Jersey,0
2020-03-14,32,Nevada,0
2020-03-14,39,Ohio,0
2020-03-14,40,Oklahoma,0
2020-03-14,41,Oregon,0
2020-03-14,42,Pennsylvania,0
2020-03-14,72,Puerto Rico,0
2020-03-14,44,Rhode Island,0
2020-03-14,45,South Carolina,0
2020-03-14,48,Texas,0
2020-03-14,US,US,0
2020-03-14,51,Virginia,0
2020-03-14,53,Washington,0
2020-03-14,55,Wisconsin,0
2020-03-14,54,West Virginia,0
2020-03-14,56,Wyoming,0
2020-03-21,01,Alabama,0
2020-03-21,05,Arkansas,0
2020-03-21,04,Arizona,0
2020-03-21,06,California,0
2020-03-21,12,Florida,0
2020-03-21,13,Georgia,0
2020-03-21,15,Hawaii,0
2020-03-21,19,Iowa,0
2020-03-21,16,Idaho,0
2020-03-21,17,Illinois,0
2020-03-21,18,Indiana,0
2020-03-21,20,Kansas,0
2020-03-21,21,Kentucky,0
2020-03-21,22,Louisiana,0
2020-03-21,24,Maryland,0
2020-03-21,23,Maine,0
2020-03-21,26,Michigan,0
2020-03-21,27,Minnesota,0
2020-03-21,29,Missouri,0
2020-03-21,28,Mississippi,0
2020-03-21,30,Montana,0
2020-03-21,37,North Carolina,0
2020-03-21,38,North Dakota,0
2020-03-21,31,Nebraska,0
2020-03-21,34,New Jersey,0
2020-03-21,35,New Mexico,0
2020-03-21,32,Nevada,0
2020-03-21,36,New York,0
2020-03-21,39,Ohio,0
2020-03-21,40,Oklahoma,0
2020-03-21,41,Oregon,0
2020-03-21,42,Pennsylvania,0
2020-03-21,72,Puerto Rico,0
2020-03-21,44,Rhode Island,0
2020-03-21,45,South Carolina,0
2020-03-21,47,Tennessee,0
2020-03-21,48,Texas,0
2020-03-21,US,US,0
2020-03-21,51,Virginia,0
2020-03-21,53,Washington,0
2020-03-21,55,Wisconsin,0
2020-03-21,54,West Virginia,0
2020-03-21,56,Wyoming,0
2020-03-28,02,Alaska,0
2020-03-28,01,Alabama,0
2020-03-28,05,Arkansas,0
2020-03-28,04,Arizona,0
2020-03-28,06,California,0
2020-03-28,09,Connecticut,0
2020-03-28,12,Florida,0
2020-03-28,13,Georgia,0
2020-03-28,15,Hawaii,0
2020-03-28,19,Iowa,0
2020-03-28,16,Idaho,0
2020-03-28,17,Illinois,0
2020-03-28,18,Indiana,0
2020-03-28,20,Kansas,0
2020-03-28,21,Kentucky,0
2020-03-28,22,Louisiana,0
2020-03-28,24,Maryland,0
2020-03-28,23,Maine,0
2020-03-28,26,Michigan,0
2020-03-28,27,Minnesota,0
2020-03-28,29,Missouri,0
2020-03-28,28,Mississippi,0
2020-03-28,30,Montana,0
2020-03-28,37,North Carolina,0
2020-03-28,38,North Dakota,0
2020-03-28,31,Nebraska,0
2020-03-28,34,New Jersey,0
2020-03-28,35,New Mexico,0
2020-03-28,32,Nevada,0
2020-03-28,36,New York,0
2020-03-28,39,Ohio,0
2020-03-28,40,Oklahoma,0
2020-03-28,41,Oregon,0
2020-03-28,42,Pennsylvania,0
2020-03-28,72,Puerto Rico,0
2020-03-28,44,Rhode Island,0
2020-03-28,45,South Carolina,0
2020-03-28,47,Tennessee,0
2020-03-28,48,Texas,0
2020-03-28,US,US,0
2020-03-28,51,Virginia,0
2020-03-28,50,Vermont,0
2020-03-28,53,Washington,0
2020-03-28,55,Wisconsin,0
2020-03-28,54,West Virginia,0
2020-03-28,56,Wyoming,0
2020-04-04,02,Alaska,0
2020-04-04,01,Alabama,0
2020-04-04,05,Arkansas,0
2020-04-04,04,Arizona,0
2020-04-04,06,California,0
2020-04-04,08,Colorado,0
2020-04-04,09,Connecticut,0
2020-04-04,11,District of Columbia,0
2020-04-04,10,Delaware,0
2020-04-04,12,Florida,0
2020-04-04,13,Georgia,0
2020-04-04,15,Hawaii,0
2020-04-04,19,Iowa,0
2020-04-04,16,Idaho,0
2020-04-04,17,Illinois,0
2020-04-04,18,Indiana,0
2020-04-04,20,Kansas,0
2020-04-04,21,Kentucky,0
2020-04-04,22,Louisiana,0
2020-04-04,25,Massachusetts,0
2020-04-04,24,Maryland,0
2020-04-04,23,Maine,0
2020-04-04,26,Michigan,0
2020-04-04,27,Minnesota,0
2020-04-04,29,Missouri,0
2020-04-04,28,Mississippi,0
2020-04-04,30,Montana,0
2020-04-04,37,North Carolina,0
2020-04-04,38,North Dakota,0
2020-04-04,31,Nebraska,0
2020-04-04,33,New Hampshire,0
2020-04-04,34,New Jersey,0
2020-04-04,35,New Mexico,0
2020-04-04,32,Nevada,0
2020-04-04,36,New York,0
2020-04-04,39,Ohio,0
2020-04-04,40,Oklahoma,0
2020-04-04,41,Oregon,0
2020-04-04,42,Pennsylvania,0
2020-04-04,72,Puerto Rico,0
2020-04-04,44,Rhode Island,0
2020-04-04,45,South Carolina,0
2020-04-04,46,South Dakota,0
2020-04-04,47,Tennessee,0
2020-04-04,48,Texas,0
2020-04-04,US,US,0
2020-04-04,49,Utah,0
2020-04-04,51,Virginia,0
2020-04-04,50,Vermont,0
2020-04-04,53,Washington,0
2020-04-04,55,Wisconsin,0
2020-04-04,54,West Virginia,0
2020-04-04,56,Wyoming,0
2020-04-11,02,Alaska,0
2020-04-11,01,Alabama,0
2020-04-11,05,Arkansas,0
2020-04-11,04,Arizona,0
2020-04-11,06,California,0
2020-04-11,08,Colorado,0
2020-04-11,09,Connecticut,0
2020-04-11,11,District of Columbia,0
2020-04-11,10,Delaware,0
2020-04-11,12,Florida,0
2020-04-11,13,Georgia,0
2020-04-11,15,Hawaii,0
2020-04-11,19,Iowa,0
2020-04-11,16,Idaho,0
2020-04-11,17,Illinois,0
