target,target_end_date,quantile,value,location,type,forecast_date
1 wk ahead inc flu hosp,2022-11-12,0.010,490.448,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.025,542.797,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.050,574.925,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.100,614.388,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.150,642.560,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.200,664.557,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.250,682.966,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.300,699.200,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.350,715.147,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.400,728.678,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.450,741.833,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.500,753.483,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.550,766.920,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.600,780.275,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.650,793.865,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.700,808.942,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.750,824.428,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.800,844.673,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.850,865.006,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.900,893.720,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.950,932.577,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.975,969.166,48,quantile,2022-11-07
1 wk ahead inc flu hosp,2022-11-12,0.990,1002.157,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.010,389.135,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.025,460.075,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.050,506.226,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.100,566.062,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.150,605.544,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.200,635.215,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.250,660.668,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.300,686.693,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.350,709.392,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.400,729.626,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.450,751.838,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.500,772.505,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.550,793.399,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.600,812.327,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.650,834.483,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.700,861.719,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.750,888.918,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.800,918.334,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.850,954.065,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.900,997.264,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.950,1062.767,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.975,1126.138,48,quantile,2022-11-07
2 wk ahead inc flu hosp,2022-11-19,0.990,1190.680,48,quantile,2022-11-07
3 wk ahead inc flu hosp,2022-11-26,0.010,307.137,48,quantile,2022-11-07
3 wk ahead inc flu hosp,2022-11-26,0.025,393.442,48,quantile,2022-11-07
3 wk ahead inc flu hosp,2022-11-26,0.050,458.453,48,quantile,2022-11-07
3 wk ahead inc flu hosp,2022-11-26,0.100,527.886,48,quantile,2022-11-07
3 wk ahead inc flu hosp,2022-11-26,0.150,573.978,48,quantile,2022-11-07
