target,target_end_date,quantile,value,location,type,forecast_date
1 wk ahead inc flu hosp,2022-10-29,0.010,214.845,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.025,245.716,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.050,278.531,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.100,311.666,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.150,332.980,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.200,348.161,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.250,361.661,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.300,373.461,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.350,383.397,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.400,393.418,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.450,402.852,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.500,412.326,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.550,421.750,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.600,432.021,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.650,442.326,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.700,453.064,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.750,465.831,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.800,478.309,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.850,495.521,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.900,514.133,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.950,543.534,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.975,570.615,48,quantile,2022-10-24
1 wk ahead inc flu hosp,2022-10-29,0.990,602.580,48,quantile,2022-10-24
2 wk ahead inc flu hosp,2022-11-05,0.010,152.801,48,quantile,2022-10-24
2 wk ahead inc flu hosp,2022-11-05,0.025,188.272,48,quantile,2022-10-24
2 wk ahead inc flu hosp,2022-11-05,0.050,224.851,48,quantile,2022-10-24
2 wk ahead inc flu hosp,2022-11-05,0.100,262.328,48,quantile,2022-10-24
2 wk ahead inc flu hosp,2022-11-05,0.150,291.742,48,quantile,2022-10-24
2 wk ahead inc flu hosp,2022-11-05,0.200,312.136,48,quantile,2022-10-24
2 wk ahead inc flu hosp,2022-11-05,0.250,329.104,48,quantile,2022-10-24
2 wk ahead inc flu hosp,2022-11-05,0.300,345.211,48,quantile,2022-10-24
2 wk ahead inc flu hosp,2022-11-05,0.350,359.677,48,quantile,2022-10-24
2 wk ahead inc flu hosp,2022-11-05,0.400,371.963,48,quantile,2022-10-24
2 wk ahead inc flu hosp,2022-11-05,0.450,386.320,48,quantile,2022-10-24
2 wk ahead inc flu hosp,2022-11-05,0.500,401.087,48,quantile,2022-10-24
