"target","location","forecast_date","target_end_date","quantile","value","type"
"1 wk ahead inc flu hosp","02",2022-10-17,2022-10-22,"0.010",2,"quantile"
"2 wk ahead inc flu hosp","02",2022-10-17,2022-10-29,"0.010",3,"quantile"
"3 wk ahead inc flu hosp","02",2022-10-17,2022-11-05,"0.010",4,"quantile"
"4 wk ahead inc flu hosp","02",2022-10-17,2022-11-12,"0.010",5,"quantile"
"1 wk ahead inc flu hosp","02",2022-10-17,2022-10-22,"0.025",3,"quantile"
"2 wk ahead inc flu hosp","02",2022-10-17,2022-10-29,"0.025",4,"quantile"
"3 wk ahead inc flu hosp","02",2022-10-17,2022-11-05,"0.025",6,"quantile"
"4 wk ahead inc flu hosp","02",2022-10-17,2022-11-12,"0.025",7,"quantile"
"1 wk ahead inc flu hosp","02",2022-10-17,2022-10-22,"0.050",4,"quantile"
"2 wk ahead inc flu hosp","02",2022-10-17,2022-10-29,"0.050",6,"quantile"
"3 wk ahead inc flu hosp","02",2022-10-17,2022-11-05,"0.050",8,"quantile"
"4 wk ahead inc flu hosp","02",2022-10-17,2022-11-12,"0.050",10,"quantile"
"1 wk ahead inc flu hosp","02",2022-10-17,2022-10-22,"0.100",5,"quantile"
"2 wk ahead inc flu hosp","02",2022-10-17,2022-10-29,"0.100",8,"quantile"
"3 wk ahead inc flu hosp","02",2022-10-17,2022-11-05,"0.100",11,"quantile"
"4 wk ahead inc flu hosp","02",2022-10-17,2022-11-12,"0.100",13,"quantile"
"1 wk ahead inc flu hosp","02",2022-10-17,2022-10-22,"0.150",6,"quantile"
"2 wk ahead inc flu hosp","02",2022-10-17,2022-10-29,"0.150",9,"quantile"
"3 wk ahead inc flu hosp","02",2022-10-17,2022-11-05,"0.150",12.85,"quantile"
"4 wk ahead inc flu hosp","02",2022-10-17,2022-11-12,"0.150",15,"quantile"
"1 wk ahead inc flu hosp","02",2022-10-17,2022-10-22,"0.200",7,"quantile"
"2 wk ahead inc flu hosp","02",2022-10-17,2022-10-29,"0.200",10,"quantile"
"3 wk ahead inc flu hosp","02",2022-10-17,2022-11-05,"0.200",14,"quantile"
"4 wk ahead inc flu hosp","02",2022-10-17,2022-11-12,"0.200",18,"quantile"
"1 wk ahead inc flu hosp","02",2022-10-17,2022-10-22,"0.250",7,"quantile"
